dataset_id,contrast,program_id,lineage,composition_stable,minimum_magnitude_retention,both_adjusted_intervals_positive
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,False,0.4986731886933281,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,True,1.826706231148001,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,True,1.4081110785542197,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,False,0.07068333184551855,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,False,0.37293785808589425,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,False,0.35705458510220295,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,False,0.5472421545363964,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,False,0.5846385200495342,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,False,0.5836670759551641,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_ENDO_1,endothelial,False,0.3846619696850004,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_ENDO_2,endothelial,True,0.8978905546994586,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_ENDO_3,endothelial,True,0.7231295189500967,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_ENDO_4,endothelial,False,1.1179168061317892,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_ENDO_5,endothelial,True,1.0135679826617878,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_ENDO_6_SAENDO1,endothelial,True,1.1523993555153746,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_ENDO_7_SAENDO2,endothelial,True,0.7400979129276868,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,True,0.9777914526787648,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,False,0.22449478374555532,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,True,0.8122951041294502,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,False,0.4896119918076923,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,False,0.5904219486679425,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,True,4.312117340787671,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,True,1.9923701240611207,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,True,4.504876324459158,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,False,0.2627140834920529,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,False,0.6795008596369899,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,False,0.655529135089254,False
GSE256398,mash_fibrosis_vs_masld_f0,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,False,0.15542433424363777,False
