dataset_id,adjustment,score_method,program_left,lineage_left,program_right,lineage_right,n_donors,spearman_rho,permutation_p_two_sided,fdr_within_dataset_method_adjustment
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_1,endothelial,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,18,-0.05056759545923632,0.8444155584441556,0.9392574256087904
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_2,endothelial,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,17,0.5808823529411765,0.0168983101689831,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_2,endothelial,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,17,0.5073529411764706,0.0408959104089591,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_2,endothelial,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,17,0.09803921568627452,0.7083291670832916,0.858580808585808
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_2,endothelial,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,17,-0.15441176470588236,0.5553444655534446,0.7810381752522422
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_2,endothelial,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,17,0.22303921568627455,0.3745625437456254,0.7023047695230477
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_2,endothelial,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,17,0.5294117647058825,0.03189681031896811,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_2,endothelial,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,18,-0.13106295149638802,0.6053394660533946,0.7982498453451358
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_2,endothelial,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,18,0.20743034055727552,0.40485951404859516,0.7144579659681092
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_2,endothelial,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,18,-0.07946336429308565,0.7543245675432457,0.90109800901098
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_2,endothelial,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,18,0.24458204334365324,0.31996800319968005,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_2,endothelial,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,18,-0.3312693498452013,0.17648235176482352,0.5471452854714529
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_2,endothelial,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,18,0.13519091847265222,0.5964403559644036,0.7982498453451358
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_3,endothelial,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,17,0.16666666666666669,0.5216478352164784,0.7728116077281161
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_3,endothelial,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,17,0.5759803921568628,0.018698130186981302,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_3,endothelial,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,17,0.06372549019607844,0.809019098090191,0.9245932549602183
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_3,endothelial,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,17,-0.03921568627450981,0.8854114588541145,0.944537125234845
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_3,endothelial,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,17,0.15686274509803924,0.5463453654634537,0.7810381752522422
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_3,endothelial,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,17,0.18627450980392157,0.4734526547345265,0.7454444428974825
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_3,endothelial,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,18,-0.43653250773993807,0.06999300069993,0.39996000399959997
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_3,endothelial,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,18,0.37254901960784315,0.1297870212978702,0.5275472452754725
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_3,endothelial,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,18,-0.034055727554179564,0.8964103589641036,0.944537125234845
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_3,endothelial,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,18,0.2549019607843137,0.30546945305469453,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_3,endothelial,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,18,-0.391124871001032,0.10738926107389261,0.48572920485729204
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_3,endothelial,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,18,0.37048503611971106,0.13188681131886812,0.5275472452754725
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_4,endothelial,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,17,-0.002450980392156863,0.9968003199680032,0.9968003199680032
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_4,endothelial,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,17,0.23529411764705882,0.34906509349065096,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_4,endothelial,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,17,0.49509803921568635,0.048295170482951705,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_4,endothelial,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,17,0.1985294117647059,0.44045595440455954,0.7444325989936217
