program_id,held_out_dataset,discovery_datasets,genes_positive_in_both_discovery,held_out_positive_genes,held_out_sign_retention,held_out_median_g
RAM2019_ENDO_2,GSE202379,GSE244832;GSE256398,24,17,0.7083333333333334,0.2866510857190097
RAM2019_ENDO_2,GSE244832,GSE202379;GSE256398,20,17,0.85,0.7033967740669937
RAM2019_ENDO_2,GSE256398,GSE202379;GSE244832,19,17,0.8947368421052632,1.21454023275033
RAM2019_ENDO_6_SAENDO1,GSE202379,GSE244832;GSE256398,8,6,0.75,0.8519230964995403
RAM2019_ENDO_6_SAENDO1,GSE244832,GSE202379;GSE256398,6,6,1.0,1.1165673578882962
RAM2019_ENDO_6_SAENDO1,GSE256398,GSE202379;GSE244832,6,6,1.0,2.79595479865029
