lineage,score_method,n_programs,n_contexts,program_variance,context_variance,interaction_residual_variance,program_fraction,context_fraction,interaction_residual_fraction
endothelial,singscore,7,10,1.469354979682756,16.601744848721122,12.458337727843933,0.04812912052426772,0.5437946512487779,0.40807622822695433
endothelial,standardized_mean,7,10,1.1696834387842063,3.757865072526229,2.797993776881152,0.15140470340471188,0.4864208792527209,0.3621744173425673
macrophage_monocyte,singscore,6,9,1.6986173546533274,23.305702511032635,16.560924077463103,0.040866291004489574,0.5607016896835503,0.39843201931196015
macrophage_monocyte,standardized_mean,6,9,0.549854156610619,3.5175020633705825,2.1837742299301666,0.08796075542119187,0.5626985537344618,0.34934069084434627
mesenchymal_hsc_myofibroblast,singscore,6,13,0.0032209938635213283,2.2131650203154547,1.0805904692815709,0.0009769538483758106,0.671271096842186,0.32775194930943813
mesenchymal_hsc_myofibroblast,standardized_mean,6,13,0.06770146592846413,0.7002882331994659,0.7405979029524656,0.04487738453842615,0.4642012384522739,0.4909213770092999
