program_id,lineage,score_method,g_mash_cirrhosis_vs_healthy,g_alcohol_cirrhosis_vs_healthy,g_mash_vs_alcohol_direct,shared_cirrhosis_component,shared_bootstrap_low,shared_bootstrap_high,etiology_divergence_component,divergence_bootstrap_low,divergence_bootstrap_high,mash_above_random_95th,alcohol_above_random_95th,shared_larger_than_divergence
RAM2019_ENDO_1,endothelial,singscore,-2.097915700135979,-1.7627838909072662,0.5878757332492263,-1.9303497955216224,-5.373619351556294,-1.4199361304575426,-0.1675659046143564,-1.7772284021549412,1.1375038707911067,False,False,False
RAM2019_ENDO_1,endothelial,standardized_mean,-3.974359516707271,-3.086675362515976,0.3545755146101594,-3.5305174396116232,-10.027036315507633,-3.1831199454355854,-0.4438420770956475,-4.2460787714292785,3.070690944094279,False,False,False
RAM2019_ENDO_2,endothelial,singscore,2.725912731413995,2.285213754308762,0.2756277587294916,2.5055632428613785,1.7892145409053573,4.893529130293817,0.2203494885526165,-0.4613603681782289,1.0387943822117676,True,True,True
RAM2019_ENDO_2,endothelial,standardized_mean,2.123428734502565,2.6730453255315254,-0.4425256269961499,2.3982370300170452,1.4850281355992099,6.849829538132706,-0.27480829551448016,-1.7333596346994766,1.1201420204729455,True,True,True
RAM2019_ENDO_3,endothelial,singscore,1.2995604896115605,-0.2799357529981034,0.9157240599391644,0.5098123683067285,-1.0989184182311744,1.7973347243876163,0.789748121304832,-0.23435755031433306,2.676672635371147,False,False,False
RAM2019_ENDO_3,endothelial,standardized_mean,0.2461692787472311,-0.7184250738518533,0.8832480086167274,-0.2361278975523111,-1.7393289165805152,0.7211454057203852,0.48229717629954216,-0.18244027196852153,1.5611941048510307,False,False,False
RAM2019_ENDO_4,endothelial,singscore,0.4179527130340981,-1.0165762629178765,1.014517735545647,-0.2993117749418892,-1.4489090276223635,0.8029127159551684,0.7172644879759873,0.0059967333170325805,1.9216860512550444,False,False,False
RAM2019_ENDO_4,endothelial,standardized_mean,0.013610328312799,-1.062201507350612,0.8727822686659489,-0.5242955895189064,-1.7259977131581592,0.5892407338056437,0.5379059178317055,-0.29056511678788094,1.8611133522817036,False,False,False
RAM2019_ENDO_5,endothelial,singscore,1.4291300124626656,0.1483205219986827,0.8574700362157073,0.7887252672306742,-0.170223567197955,2.117298272520029,0.6404047452319914,-0.20916658803072086,2.0274701130193535,False,False,True
RAM2019_ENDO_5,endothelial,standardized_mean,1.6107106658132395,0.9529132979947816,0.4984580469966346,1.2818119819040106,0.4539492660199567,3.411989632588724,0.32889868390922894,-0.4961208008028801,1.4240386914557315,False,True,True
RAM2019_ENDO_6_SAENDO1,endothelial,singscore,2.107693360899347,1.5899949495555807,0.126813253251553,1.848844155227464,1.2678036656010945,4.077026090874215,0.2588492056718832,-0.7027441481869077,1.31275577208699,False,True,True
RAM2019_ENDO_6_SAENDO1,endothelial,standardized_mean,2.9370609580935514,2.0928595384102286,-0.0873410521080365,2.51496024825189,1.505498924429017,8.26440459220145,0.42210070984166137,-1.2369585211660619,3.2653997670365347,True,True,True
RAM2019_ENDO_7_SAENDO2,endothelial,singscore,0.3472594846913117,-0.7713954884566221,0.9053519856463496,-0.2120680018826552,-1.198453924031052,1.0891864805744325,0.5593274865739669,-0.10671322044962968,1.7278890262054885,False,False,False
RAM2019_ENDO_7_SAENDO2,endothelial,standardized_mean,0.4899239246601664,-0.468656201069601,0.874806583561296,0.010633861795282695,-1.011958211577219,1.42606031456732,0.4792900628648837,-0.14098079792618778,1.6055555481940347,False,False,False
RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,singscore,1.2364740644165777,0.3313143003690052,0.7026711981974705,0.7838941823927914,-0.14647686898758308,1.996157442887848,0.45257988202378624,-0.17158781250823632,1.8649723917680574,True,True,True
RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,standardized_mean,1.551460333541458,0.7688721435755081,0.5516721037233465,1.160166238558483,0.5409363305758362,2.5992214632887767,0.39129409498297496,-0.15656702423553034,1.663612261382323,True,True,True
RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,singscore,-0.6078477808916414,-1.1560365971091604,0.7917110373571149,-0.8819421890004009,-2.6718519607015527,-0.026142099774038245,0.2740944081087595,-0.390045761162249,1.566159740019466,False,False,False
RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,standardized_mean,0.0712746639896066,-0.2937646602118597,0.5350519036722842,-0.11124499811112656,-1.195395772462738,1.1273192878790639,0.18251966210073314,-0.24802936505570447,0.8177492524139633,False,True,False
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,singscore,-1.1742658618723456,-1.4858271369832168,0.8916578244336933,-1.3300464994277812,-3.2012849389868463,-0.6452375986284071,0.15578063755543559,-0.7002637436555794,1.6186293213868799,False,False,False
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,standardized_mean,-0.532972020793911,-0.8925997495831398,0.5937738128867763,-0.7127858851885254,-1.840928673503729,0.19707697085900316,0.1798138643946144,-0.5387648217989751,1.1966466812697787,False,False,False
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,singscore,-0.5395968144283503,-0.90782563418359,0.4557902144047104,-0.7237112243059701,-2.6428964936674593,0.19366471665172683,0.18411440987761984,-0.6571081994734893,1.8211649574656907,False,False,False
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,standardized_mean,-1.0091506109125112,-1.051161853044266,0.3008259364741232,-1.0301562319783886,-4.854453050588872,-0.10767972881770792,0.021005621065877333,-1.5244243600702636,1.028052892972395,False,False,False
