dataset_id,contrast,lineage,program_id,score_method,analysis_tier,cell_gate,real_hedges_g,genes_dropped,loo_g_min,loo_g_median,loo_g_max,loo_positive_fraction,real_expected_direction,all_loo_expected_direction,sign_stable_vs_real
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,primary,30,0.993285868224506,123,0.920360635137875,0.9937334196898059,1.0505193696058772,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,primary,30,-0.0532231086074135,22,-0.3427199158151328,-0.03976234624921786,0.10557353740019224,0.18181818181818182,False,False,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,primary,30,0.0650736310734012,22,-0.1637090002591691,0.05684007807494475,0.18923316093822043,0.8636363636363636,True,False,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,primary,30,-0.0847673268399933,39,-0.24513633307337068,-0.08458926189902233,0.05871237075312376,0.05128205128205128,False,False,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,primary,30,-0.4012080682452838,39,-0.5108484874578423,-0.3976208959918078,-0.2770871030972379,0.0,False,False,True
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,primary,30,0.48001601823079,56,0.35784850858847445,0.4773242518919883,0.6188145441942593,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,primary,30,1.491964143796337,56,1.298713960531586,1.4931814123499976,1.6571639873068427,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,singscore,sensitivity,20,-0.0735896451113106,77,-0.22918114281839833,-0.07304197563709487,0.0026097175328066097,0.012987012987012988,False,False,False
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,standardized_mean,sensitivity,20,-0.1978609637708955,77,-0.23093223807865912,-0.19745922269977514,-0.16855341860398343,0.0,False,False,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,singscore,sensitivity,20,1.0265721631066531,43,0.9359403017116429,1.0249720339450001,1.0909216794998813,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,standardized_mean,sensitivity,20,1.0507436931522225,43,0.9715739779861985,1.0502290452719931,1.1221847862193717,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,singscore,sensitivity,20,0.2413602839492791,37,0.08227614943521834,0.24275454080501804,0.33454878835059426,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,standardized_mean,sensitivity,20,0.0348320654475889,37,-0.06232887215219426,0.03221157335835123,0.1238135404908982,0.8648648648648649,True,False,False
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,singscore,sensitivity,20,0.5599202498739436,85,0.4985740790410368,0.5604995594548761,0.6009847675213699,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,standardized_mean,sensitivity,20,0.4803578940319205,85,0.4453411076322987,0.48335225213937544,0.5138932182345108,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,singscore,sensitivity,20,0.3014523175669221,48,0.23514073751311002,0.301408118394467,0.3773959847046083,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,standardized_mean,sensitivity,20,0.576473473549639,48,0.520892993926477,0.5781231229621854,0.6443216785190173,1.0,True,True,True
