dataset_id,contrast,lineage,source_state,program_id,score_method,cell_gate,analysis_tier,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,effect_status
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_6_SAENDO1,singscore,20,sensitivity,3,3,0.41912217065841645,0.4357461638306573,0.016623993172240836,0.07675803964711789,0.17326125835070136,0.7999999999999996,-1.3947387416492978,1.7412612583507006,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_6_SAENDO1,standardized_mean,30,primary,3,3,-0.022005165612665783,-0.19817200811478072,-0.17616684250211495,0.4237139797482186,-0.33261464274895564,0.7999999999999995,-1.9006146427489545,1.2353853572510434,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,RAM2019_ENDO_6_SAENDO1,standardized_mean,20,sensitivity,3,3,-0.022005165612665783,-0.19817200811478072,-0.17616684250211495,0.4237139797482186,-0.33261464274895564,0.7999999999999995,-1.9006146427489545,1.2353853572510434,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_1,singscore,30,primary,4,3,0.828557371108686,0.8085838685582111,-0.01997350255047492,0.03251042967382053,-0.5173660203881258,0.8493417271468854,-2.182075805596021,1.1473437648197695,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_1,singscore,20,sensitivity,4,4,0.828557371108686,0.8188580342044102,-0.009699336904275824,0.033043763770159364,-0.25524350259805256,0.7099970268936756,-1.6468376753096567,1.1363506701135515,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_1,standardized_mean,30,primary,4,3,0.4418924866454597,0.22091378082221125,-0.22097870582324847,0.27386493949172974,-0.6794857770583561,0.8914604964768112,-2.426748350152906,1.0677767960361937,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_1,standardized_mean,20,sensitivity,4,4,0.4418924866454597,0.3004757153454741,-0.1414167712999856,0.2741566591431049,-0.44854320103915335,0.7099970268936755,-1.8401373737507574,0.9430509716724506,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_2,singscore,30,primary,4,3,0.2809269767143843,0.2786145453515938,-0.0023124313627905235,0.047990787626437735,-0.040576758949138925,0.7952176120190494,-1.5992032785064758,1.5180497606081977,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_2,singscore,20,sensitivity,4,4,0.2809269767143843,0.2738350859259634,-0.007091890788420929,0.04432775141647389,-0.13911965660538314,0.7099970268936754,-1.5307138293169869,1.2524745161062205,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_2,standardized_mean,30,primary,4,3,0.0061358298766433506,0.01139753265990188,0.005261702783258529,0.22196127836411084,0.019962525173809725,0.9056921868364096,-1.755194161025553,1.7951192113731727,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_2,standardized_mean,20,sensitivity,4,4,0.0061358298766433506,-0.0362159061332126,-0.04235173600985595,0.2135175715289101,-0.1724804018076943,0.7099970268936755,-1.564074574519298,1.2191137709039097,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_3,singscore,30,primary,4,3,0.5564676143151479,0.5645898621234944,0.008122247808346472,0.02038681737339464,0.3355005100995976,0.703033259774251,-1.0424446790579345,1.7134456992571296,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_3,singscore,20,sensitivity,4,4,0.5564676143151479,0.5653842824246411,0.008916668109493209,0.01864441317776461,0.4158685161667931,0.7099970268936753,-0.9757256565448104,1.8074626888783967,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_3,standardized_mean,30,primary,4,3,0.1328457392901386,-0.038750033022289174,-0.17159577231242779,0.10259767448153484,-1.408430588024157,0.8813659938627182,-3.1359079359950846,0.31904675994677056,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_3,standardized_mean,20,sensitivity,4,4,0.1328457392901386,-0.04041133524768478,-0.17325707453782338,0.0936878977831041,-1.6080873757446383,0.7099970268936756,-2.9996815484562425,-0.2164932030330342,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_4,singscore,30,primary,4,3,0.558904956182396,0.6165009825308283,0.057596026348432305,0.04241239326203576,1.1435788738762527,0.9234661149759649,-0.6664147114766383,2.953572459229144,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_4,singscore,20,sensitivity,4,4,0.558904956182396,0.6017843124674481,0.04287935628505213,0.04395645580973775,0.8482575786137524,0.7099970268936756,-0.5433365940978517,2.2398517513253564,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_4,standardized_mean,30,primary,4,3,0.01725501463727144,0.19950809133970004,0.1822530767024286,0.21396475999042572,0.7172969750939463,0.9259266732689644,-1.0975193045132237,2.5321132547011165,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_4,standardized_mean,20,sensitivity,4,4,0.01725501463727144,0.14919854274398783,0.1319435281067164,0.20787704729304704,0.5519296343465527,0.7099970268936756,-0.8396645383650514,1.9435238070581569,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_5,singscore,30,primary,4,3,0.4986495615580976,0.4888315692410665,-0.009817992317031066,0.049540352341515846,-0.16688987084347118,0.8701801279291621,-1.8724429215846288,1.5386631798976864,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_5,singscore,20,sensitivity,4,4,0.4986495615580976,0.43519163809584843,-0.06345792346224916,0.08831585277643393,-0.6248119819477732,0.7099970268936755,-2.0164061546593772,0.7667821907638307,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_5,standardized_mean,30,primary,4,3,0.0673124293777291,0.2308259478640455,0.1635135184863164,0.17151115537417577,0.8028375426332496,0.8234835412519318,-0.8111901982205366,2.4168652834870357,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_5,standardized_mean,20,sensitivity,4,4,0.0673124293777291,0.02141717336556493,-0.045895256012164175,0.33498875606314243,-0.1191350979670632,0.7099970268936754,-1.5107292706786668,1.2724590747445406,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_6_SAENDO1,singscore,30,primary,4,3,0.39729356697071533,0.43013726640706956,0.032843699436354234,0.08005666546680708,0.3454784432458946,0.8241240733418694,-1.2698047405041695,1.9607616269959587,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_6_SAENDO1,singscore,20,sensitivity,4,4,0.39729356697071533,0.43613378140502485,0.03884021443430952,0.0735717866370093,0.45906319598749046,0.7099970268936755,-0.9325309767241134,1.8506573686990944,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_6_SAENDO1,standardized_mean,30,primary,4,3,0.022609515382946727,0.04806181281239014,0.02545229742944341,0.3218069899483441,0.06660362979758432,0.8136985317879933,-1.5282454925068827,1.6614527521020512,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_6,RAM2019_ENDO_6_SAENDO1,standardized_mean,20,sensitivity,4,4,0.022609515382946727,-0.00878283250727109,-0.03139234789021782,0.30456921991458835,-0.08962722439659503,0.7099970268936754,-1.4812213971081987,1.3019669483150087,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,cluster_12,RAM2019_MES_HSC,singscore,20,sensitivity,3,3,0.2662544395738009,0.0381456713488838,-0.2281087682249171,0.12283577188772687,-1.4856178438535694,0.7999999999999996,-3.0536178438535684,0.08238215614642974,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,cluster_12,RAM2019_MES_HSC,standardized_mean,20,sensitivity,3,3,0.2682687653594679,-0.5930760424241387,-0.8613448077836066,0.36629945172428935,-1.881181757120257,0.7999999999999997,-3.4491817571202565,-0.31318175712025753,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,cluster_12,RAM2019_MES_MESOTHELIAL,singscore,20,sensitivity,3,3,0.2489761158683982,0.2855966339576188,0.036620518089220594,0.04680090324258497,0.6259796807664847,0.8000000000000002,-0.9420203192335156,2.193979680766485,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,cluster_12,RAM2019_MES_MESOTHELIAL,standardized_mean,20,sensitivity,3,3,-0.17899023411515713,0.08009457042867689,0.25908480454383404,0.2612971903011004,0.793226453741146,0.7999999999999999,-0.7747735462588539,2.361226453741146,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,cluster_12,RAM2019_MES_SAMES,singscore,20,sensitivity,3,3,0.5047277934718064,0.5127119020274804,0.007984108555673997,0.047307098979596784,0.1350175128534935,0.8000000000000003,-1.4329824871465071,1.703017512853494,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,cluster_12,RAM2019_MES_SAMES,standardized_mean,20,sensitivity,3,3,-0.18918529884333682,0.019657112098650186,0.208842410941987,0.22264719867552046,0.7503976234485585,0.8000000000000004,-0.8176023765514422,2.3183976234485595,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,cluster_12,RAM2019_MES_VSMC,singscore,20,sensitivity,3,3,0.41516994824182274,0.2587899161294391,-0.15638003211238366,0.1326289135385034,-0.9432635942809566,0.7999999999999994,-2.5112635942809556,0.6247364057190421,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,cluster_12,RAM2019_MES_VSMC,standardized_mean,20,sensitivity,3,3,0.30147586946102345,-0.23914104274345607,-0.5406169122044795,0.586517758871821,-0.7373920452050656,0.7999999999999995,-2.3053920452050645,0.8306079547949333,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,cluster_12,RAM2019_SAMES_A,singscore,20,sensitivity,3,3,0.6447359703173657,0.6097736731986203,-0.03496229711874543,0.06943289970874199,-0.4028326313941169,0.8000000000000002,-1.9708326313941171,1.1651673686058834,ESTIMATED
