lineage,program_id,score_method,n_control_donors,n_case_donors,states,reconstructed_total_difference,abundance_component,intensity_component,identity_error,abundance_share,intensity_share,total_bootstrap_low,total_bootstrap_high,abundance_bootstrap_low,abundance_bootstrap_high,intensity_bootstrap_low,intensity_bootstrap_high,bootstrap_iterations,dataset_id,contrast
endothelial,RAM2019_ENDO_1,singscore,4,4,12,-0.06376878591038881,-0.01902626675488092,-0.04474251915550791,1.3877787807814457e-17,0.2983633212276867,0.7016366787723135,-0.12524771065885476,0.011982534333773054,-0.03719684094612968,0.0003714081163044611,-0.11176334182743701,0.028042140925138556,10000,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,standardized_mean,4,4,12,-0.5289405066216079,-0.15759240964710997,-0.3713480969744979,0.0,0.29793976387565274,0.7020602361243473,-0.9677042191140263,-0.03431546307693359,-0.30332469907486365,-0.003371014585142275,-0.8165544305778033,0.10937470316091942,10000,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_2,singscore,4,4,12,-0.024237885408637083,-0.005195070326655494,-0.019042815081981555,-3.469446951953614e-17,0.2143367805841779,0.7856632194158206,-0.09312377876744157,0.04888179168266199,-0.01694217188666438,0.006227975097183084,-0.08888499063337979,0.05039376882377848,10000,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_2,standardized_mean,4,4,12,-0.19222522379790363,-0.0528822941959968,-0.13934292960190683,0.0,0.2751059052041719,0.7248940947958281,-0.5373574746276428,0.2679977304796298,-0.13743368721235036,0.03920978046079383,-0.4895174685411795,0.27048140029417056,10000,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_3,singscore,4,4,12,-0.01752170447312207,-0.006265795922182592,-0.011255908550939402,-7.45931094670027e-17,0.3576019634273705,0.6423980365726253,-0.059913393951790184,0.049116082415717965,-0.023451066836529616,0.01462943318692984,-0.057193104062765454,0.042850904013142885,10000,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_3,standardized_mean,4,4,12,-0.35718423961186363,-0.06582351588377316,-0.2913607237280904,-5.551115123125783e-17,0.18428449126227037,0.8157155087377295,-0.6286985246468759,0.0436431106870798,-0.19425783298731308,0.0766889498114855,-0.5508989771910662,0.05302167699418772,10000,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_4,singscore,4,4,12,0.004185141528017855,-0.01141091864619262,0.015596060174210499,-2.42861286636753e-17,-2.7265311267972816,3.7265311267972874,-0.08017759207532665,0.12091599811476406,-0.03234836180809271,0.012523127195977146,-0.07232297662070522,0.11333140469317093,10000,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_4,standardized_mean,4,4,12,-0.15257650697589803,-0.08985536608382552,-0.06272114089207251,0.0,0.5889200628902826,0.4110799371097173,-0.565503364841016,0.48309280336737764,-0.2220602849256293,0.06195822138847228,-0.5000542244597418,0.4638390870490775,10000,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,singscore,4,4,12,-0.05674363650494113,-0.0065147319088684,-0.05022890459607277,4.163336342344337e-17,0.1148099119149882,0.8851900880850125,-0.1627210648100848,0.0607387797644407,-0.03247508652327868,0.01558061795842258,-0.1646808875147425,0.06349885884526535,10000,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,standardized_mean,4,4,12,-0.11393253186185226,-0.03737776721420561,-0.07655476464764666,0.0,0.3280693108753841,0.671930689124616,-0.5273063516852511,0.4062497169017614,-0.17736796930130808,0.09849467687782851,-0.5212850263084106,0.39243291055556234,10000,GSE202379,clinical_cirrhosis_vs_healthy
