program_id,post_lock_label,alcohol_cirrhosis_vs_hepatitis_dual_score_positive_ci,alcohol_cirrhosis_vs_hepatitis_dual_score_random_specific
RAM2019_ENDO_2,NOT_CIRRHOSIS_CONTEXT_ENRICHED_POST_LOCK,False,True
RAM2019_ENDO_6_SAENDO1,NOT_CIRRHOSIS_CONTEXT_ENRICHED_POST_LOCK,False,False
