lineage,program_id,score_method,source_state,mean_fraction_control,mean_fraction_case,mean_intensity_control,mean_intensity_case,abundance_component,intensity_component,combined_component,dataset_id,contrast
endothelial,RAM2019_ENDO_1,singscore,cluster_0,0.008463241398394982,0.0,0.4049065751439068,0.4049065751439068,-0.0034268220892402406,0.0,-0.0034268220892402406,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,singscore,cluster_1,0.0,0.0017730496453900709,0.1134356022425298,0.1134356022425298,0.0002011269543307266,0.0,0.0002011269543307266,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,singscore,cluster_11,0.19807997061084343,0.26151713302075674,0.7497650841781696,0.6940880559466192,0.045796973073079776,-0.0127945004570177,0.033002472616062074,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,singscore,cluster_12,0.001122929483710159,0.0,0.1473578217805286,0.1473578217805286,-0.0001654724427326626,0.0,-0.0001654724427326626,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,singscore,cluster_13,0.009262712959820221,0.040590788808465145,0.48125713286072497,0.3790676396513472,0.013476159863863192,-0.0025472520402069496,0.010928907823656242,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,singscore,cluster_15,0.08161984553750526,0.12523901019095934,0.6842814658080856,0.4914988795681548,0.02564327824063067,-0.019939392596983064,0.005703885643647606,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,singscore,cluster_16,0.14094032679455448,0.11755635218145641,0.8102534091950384,0.7833068150579375,-0.01863188591418723,-0.0034828025470775115,-0.022114688461264742,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,singscore,cluster_19,0.0018878101402373248,0.0008305647840531562,0.6031430404105196,0.2175895304182669,-0.00043385784958891436,-0.0005240394967675595,-0.0009578973463564739,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,singscore,cluster_2,0.0033783783783783786,0.0,0.3390943245337088,0.3390943245337088,-0.0011455889342355029,0.0,-0.0011455889342355029,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,singscore,cluster_21,0.015945468786674157,0.005086850061502029,0.6047961980290395,0.5395897719983673,-0.0062132254614819344,-0.0006857211716135563,-0.0068989466330954905,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,singscore,cluster_4,0.0033783783783783786,0.0,0.36015011287621945,0.36015011287621945,-0.0012167233543115522,0.0,-0.0012167233543115522,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,singscore,cluster_6,0.5359209375315033,0.44740625130741707,0.828557371108686,0.8188580342044102,-0.07291022884100724,-0.004768810845841571,-0.07767903968684882,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,standardized_mean,cluster_0,0.008463241398394982,0.0,-2.6655133029413136,-2.6655133029413136,0.02255888253342547,0.0,0.02255888253342547,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,standardized_mean,cluster_1,0.0,0.0017730496453900709,-5.276770539055714,-5.276770539055714,-0.009355976133077506,0.0,-0.009355976133077506,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,standardized_mean,cluster_11,0.19807997061084343,0.26151713302075674,-0.22885472474699248,-0.6616812428163571,-0.02824653740309275,-0.09946290703981521,-0.12770944444290797,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,standardized_mean,cluster_12,0.001122929483710159,0.0,-5.1790857914109845,-5.1790857914109845,0.005815748133839758,0.0,0.005815748133839758,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,standardized_mean,cluster_13,0.009262712959820221,0.040590788808465145,-2.320769313451076,-3.2342518749402687,-0.08701406256537686,-0.022770152247249657,-0.10978421481262651,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,standardized_mean,cluster_15,0.08161984553750526,0.12523901019095934,-0.6756230483711062,-2.178710588561307,-0.06225182444262368,-0.15546348431172874,-0.2177153087543524,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,standardized_mean,cluster_16,0.14094032679455448,0.11755635218145641,0.39378760355637027,0.2896639044036394,-0.007990906355710231,-0.013457815216839102,-0.02144872157254933,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,standardized_mean,cluster_19,0.0018878101402373248,0.0008305647840531562,-1.3451955437270893,-5.073523573207678,0.0033930804895149153,-0.005067496712434687,-0.0016744162229197718,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_1,standardized_mean,cluster_2,0.0033783783783783786,0.0,-3.2697053243699212,-3.2697053243699212,0.011046301771520006,0.0,0.011046301771520006,GSE202379,clinical_cirrhosis_vs_healthy
