dataset_id,contrast,lineage,source_state,cell_gate,analysis_tier,mean_fraction_control,mean_fraction_case,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,effect_status
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_0,30,primary,0.008463241398394982,0.0,4,4,0.0619655495229125,0.0,-0.0619655495229125,0.055911678630799384,-0.9637179183524125,0.7099970268936753,-2.355312091064016,0.42787625435919097,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_0,20,sensitivity,0.008463241398394982,0.0,4,4,0.0619655495229125,0.0,-0.0619655495229125,0.055911678630799384,-0.9637179183524125,0.7099970268936753,-2.355312091064016,0.42787625435919097,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_1,30,primary,0.0,0.0017730496453900709,4,4,0.0,0.021078764073984093,0.021078764073984093,0.029809874031491056,0.6148754619013457,0.7099970268936756,-0.7767187108102585,2.00646963461295,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_1,20,sensitivity,0.0,0.0017730496453900709,4,4,0.0,0.021078764073984093,0.021078764073984093,0.029809874031491056,0.6148754619013457,0.7099970268936756,-0.7767187108102585,2.00646963461295,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,30,primary,0.19807997061084343,0.26151713302075674,4,4,0.4525003668819003,0.5355446105358359,0.08304424365393559,0.0950243777201217,0.7599353715182473,0.7099970268936754,-0.6316588011933564,2.151529544229851,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_11,20,sensitivity,0.19807997061084343,0.26151713302075674,4,4,0.4525003668819003,0.5355446105358359,0.08304424365393559,0.0950243777201217,0.7599353715182473,0.7099970268936754,-0.6316588011933564,2.151529544229851,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_12,30,primary,0.001122929483710159,0.0,4,4,0.022826030872702747,0.0,-0.022826030872702747,0.020049460448858497,-0.9899878626974454,0.7099970268936754,-2.381582035409049,0.40160631001415825,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_12,20,sensitivity,0.001122929483710159,0.0,4,4,0.022826030872702747,0.0,-0.022826030872702747,0.020049460448858497,-0.9899878626974454,0.7099970268936754,-2.381582035409049,0.40160631001415825,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_13,30,primary,0.009262712959820221,0.040590788808465145,4,4,0.08201420205633474,0.13876635287734113,0.05675215082100639,0.13149089596603308,0.37530884555566946,0.7099970268936754,-1.0162853271559342,1.7669030182672731,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,cluster_13,20,sensitivity,0.009262712959820221,0.040590788808465145,4,4,0.08201420205633474,0.13876635287734113,0.05675215082100639,0.13149089596603308,0.37530884555566946,0.7099970268936754,-1.0162853271559342,1.7669030182672731,ESTIMATED
