program_id,program_label,state_status,alcohol_context_status,chung_2022_region_average_status,hammond_2025_primary_recurrence_status,formal_spatial_status,regulatory_status,frozen_phase2_labels_changed
RAM2019_ENDO_2,Endo2,NOT_STATE_SUPPORTED_POST_LOCK,NOT_CIRRHOSIS_CONTEXT_ENRICHED_POST_LOCK,DESCRIPTIVE_DUAL_SCORE_PASS,NOT_PRIMARY_RECURRENCE_PASS,NOT_SPATIALLY_REPLICATED_POST_LOCK,NOT_TRIGGERED_BY_FROZEN_RULE,False
RAM2019_ENDO_6_SAENDO1,SAEndo1,NOT_STATE_SUPPORTED_POST_LOCK,NOT_CIRRHOSIS_CONTEXT_ENRICHED_POST_LOCK,NOT_DESCRIPTIVE_DUAL_SCORE_PASS,NOT_PRIMARY_RECURRENCE_PASS,NOT_SPATIALLY_REPLICATED_POST_LOCK,NOT_TRIGGERED_BY_FROZEN_RULE,False
