spatial_study,donor_id,scar_cluster,metric,scar_spots,other_spots,scar_median,other_median,scar_minus_other
Hammond_2025_PMC12162837,A,A6,EC4_6_abundance,151.0,1861.0,0.9520001560449594,0.3219933807849873,0.6300067752599721
Hammond_2025_PMC12162837,A,A6,EC1_3_abundance,151.0,1861.0,0.1025329306721686,0.4084170088171944,-0.3058840781450258
Hammond_2025_PMC12162837,A,A6,EC4_6_fraction_of_EC1_6,151.0,1861.0,0.9022048777290547,0.43101133657514473,0.47119354115390993
Hammond_2025_PMC12162837,B,B6,EC4_6_abundance,123.0,1486.0,0.40969289094209604,0.4550854777917255,-0.045392586849629435
Hammond_2025_PMC12162837,B,B6,EC1_3_abundance,123.0,1486.0,0.32206131145357997,0.4772649519145481,-0.15520364046096813
Hammond_2025_PMC12162837,B,B6,EC4_6_fraction_of_EC1_6,123.0,1486.0,0.5207967661626196,0.47109497460389405,0.04970179155872556
Hammond_2025_PMC12162837,C,C5,NOT_EVALUABLE,,,,,
