dataset_id,contrast,program_id,lineage,score_method,analysis_tier,cell_gate,coverage_tier,program_coverage,expected_direction,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode,source_file,annotation_limitation,etiology_limitation,endpoint_limitation,uncertainty_status,permutation_status,assay,annotation_role,endpoint_family,expected_direction_observed,formal_primary_row,comparable_advanced_sensitivity_input
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_6_SAENDO1,endothelial,singscore,primary,30,primary,1.0,positive_case_higher,5,15,0.4091694671147383,0.4654232677228356,0.0562538006080973,0.0689556311879346,0.8157970515095543,0.7813267535584464,0.7219482681469163,-0.6336918520095095,2.1963453591264024,0.5325638067099508,-0.2624983075930572,1.82515181470995,0.1294504643962848,exact_15504_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,advanced_f3f4_vs_f0,True,True,True
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_6_SAENDO1,endothelial,standardized_mean,primary,30,primary,1.0,positive_case_higher,5,15,-0.2851181931995055,-0.1174729866826456,0.1676452065168598,0.4069534399388065,0.4119518108559757,0.3945453963127655,0.6385003975440521,-0.8569153828735767,1.6460061754991075,0.5205676941184179,-0.6257672841593336,1.4148580767848644,0.4336300309597523,exact_15504_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,advanced_f3f4_vs_f0,True,True,True
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,singscore,primary,30,primary,0.8,positive_case_higher,3,7,0.2122116276837423,0.2072006801632757,-0.0050109475204666,0.0876418005666573,-0.0571753146109258,-0.0516422196485782,0.4505334304306617,-0.9346877432926752,0.8314033039955188,0.690186321668733,-1.4044074101192947,1.3011229708221383,0.9083333333333332,exact_120_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,advanced_f3f4_vs_f0,False,True,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,standardized_mean,primary,30,primary,0.8,positive_case_higher,3,7,0.0818520163687613,0.0251346026311274,-0.0567174137376338,0.372222175528115,-0.1523751604996727,-0.1376291772255109,0.4378752649840987,-0.9958646965943444,0.7206063421433224,0.6909228163058171,-1.4918378971849124,1.2165795427338906,0.8333333333333334,exact_120_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,advanced_f3f4_vs_f0,False,True,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,singscore,primary,30,primary,0.8785714285714286,positive_case_higher,3,7,0.4997084026856199,0.5655965629667034,0.0658881602810834,0.0634618862588518,1.0382319871857446,0.9377579239097048,0.929291084259414,-0.8836526012387463,2.759168449058156,0.7288019939815211,-0.4906939842940766,2.366209832113486,0.1833333333333333,exact_120_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,advanced_f3f4_vs_f0,True,True,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,standardized_mean,primary,30,primary,0.8785714285714286,positive_case_higher,3,7,-0.2092949810627172,0.0926043164813818,0.3018992975440991,0.2745264432069938,1.099709354105703,0.993285868224506,0.7664549133220847,-0.5089657618867801,2.495537498335792,0.7333853197272108,-0.4441493584408272,2.4307210948898392,0.1583333333333333,exact_120_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,advanced_f3f4_vs_f0,True,True,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,singscore,primary,30,primary,1.0,positive_case_higher,3,7,0.381202613618173,0.3757878586916525,-0.0054147549265205,0.0918914079468692,-0.0589255845296364,-0.0532231086074135,0.9939483613538838,-2.0013618968610256,1.8949156796461983,0.6901938277731053,-1.4060030110427,1.299556793827873,0.9166666666666666,exact_120_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,advanced_f3f4_vs_f0,False,True,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,standardized_mean,primary,30,primary,1.0,positive_case_higher,3,7,0.0403233621961743,0.0666766380778386,0.0263532758816643,0.3657850110440133,0.0720458058312656,0.0650736310734012,1.0589560407226737,-2.010480208743039,2.140627470889841,0.6902572978837627,-1.2878306727787736,1.417977934925576,0.9,exact_120_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,advanced_f3f4_vs_f0,True,True,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,singscore,primary,30,primary,0.8297872340425532,positive_case_higher,3,7,0.6563110368607198,0.6509384437502831,-0.0053725931104366,0.0572468771378204,-0.0938495404299925,-0.0847673268399933,0.8941989853038451,-1.8373973380355295,1.667862684355543,0.6903908819804191,-1.4379334555216148,1.268398801841628,0.9,exact_120_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,advanced_f3f4_vs_f0,False,True,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,standardized_mean,primary,30,primary,0.8297872340425532,positive_case_higher,3,7,0.1392273388373754,-0.0062354028217893,-0.1454627416591648,0.3274752243103881,-0.4441946469858499,-0.4012080682452838,0.7364059612007936,-1.8445637521988396,1.0421476157082716,0.6973169801582675,-1.767949349355488,0.9655332128649204,0.5083333333333333,exact_120_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,advanced_f3f4_vs_f0,False,True,False
