dataset_id,contrast,lineage,program_id,score_method,n_control,n_case,hedges_g,robust_ci95_width,minimum_detectable_cohens_d_80_power,balanced_n_per_group_for_observed_absolute_g_80_power
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,RAM2019_ENDO_1,singscore,5,15,-0.0138660218400063,2.184822944905116,1.4467323856976533,
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,RAM2019_ENDO_1,standardized_mean,5,15,0.0718228202466953,1.9077808689803408,1.4467323856976533,
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,RAM2019_ENDO_2,singscore,5,15,0.8218725147435686,2.180925129467508,1.4467323856976533,24.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,RAM2019_ENDO_2,standardized_mean,5,15,0.7853377944905778,1.9302875356333304,1.4467323856976533,26.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,RAM2019_ENDO_3,singscore,5,15,-0.0068950617332744,1.4885570402693955,1.4467323856976533,
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,RAM2019_ENDO_3,standardized_mean,5,15,0.0809565506118159,1.3674128094504854,1.4467323856976533,
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,RAM2019_ENDO_4,singscore,5,15,0.4447797789093736,1.502131609659719,1.4467323856976533,80.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,RAM2019_ENDO_4,standardized_mean,5,15,0.5106789195016128,1.513465517470688,1.4467323856976533,61.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,RAM2019_ENDO_5,singscore,5,15,0.0484537660421259,1.93888458768872,1.4467323856976533,
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,RAM2019_ENDO_5,standardized_mean,5,15,0.3864378007399309,2.1429715294329297,1.4467323856976533,106.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,5,15,0.7813267535584464,2.830037211135912,1.4467323856976533,26.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,5,15,0.3945453963127655,2.5029215583726843,1.4467323856976533,101.0
