dataset_id,contrast,program_id,lineage,score_method,analysis_tier,cell_gate,coverage_tier,program_coverage,expected_direction,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode,real_effect_percentile,above_random_95th_percentile
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_1,endothelial,singscore,primary,30,primary,0.9625,positive_case_higher,5,15,0.7987728563931258,0.798159409544913,-0.0006134468482127,0.0423716741276509,-0.0144777580976536,-0.0138660218400063,0.5573527920676317,-1.1062774942925644,1.0785454506125516,0.5164029506155932,-1.026015805046569,0.9982837613665564,0.9771026831785344,exact_15504_allocations,0.523,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_1,endothelial,standardized_mean,primary,30,primary,0.9625,positive_case_higher,5,15,-0.0437810173438297,-0.0064365022561129,0.0373445150877167,0.4979834780594671,0.0749914740811083,0.0718228202466953,0.4866787931072298,-0.8820676142434751,1.0257132547368657,0.516536502891782,-0.9405887254211972,1.084234365914588,0.8888673890608875,exact_15504_allocations,0.669,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_2,endothelial,singscore,primary,30,primary,0.9555555555555556,positive_case_higher,5,15,0.2451501338844675,0.2987409247390979,0.0535907908546304,0.0624505508096578,0.858131596276373,0.8218725147435686,0.5563584513947725,-0.2685900499901854,1.9123350794773224,0.5342563479186881,-0.2252699271770601,1.8690149566641971,0.1142285861713106,exact_15504_allocations,0.989,True
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_2,endothelial,standardized_mean,primary,30,primary,0.9555555555555556,positive_case_higher,5,15,-0.3635092118715762,-0.1011453077231618,0.2623639041484144,0.3199618140682706,0.819985050129868,0.7853377944905778,0.4924202897023801,-0.1798059733260872,1.750481562307243,0.5327276626386372,-0.2588084242811511,1.8294840132623067,0.1297729618163054,exact_15504_allocations,0.945,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_3,endothelial,singscore,primary,30,primary,0.9487179487179488,positive_case_higher,5,15,0.5834955070381079,0.583052847851054,-0.0004426591870538,0.0614867994141091,-0.0071992556332718,-0.0068950617332744,0.3797339388442335,-0.7511735818679722,0.7373834584014233,0.5163990581656224,-1.0190372157378944,1.0052470922713452,0.9872291021671826,exact_15504_allocations,0.606,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_3,endothelial,standardized_mean,primary,30,primary,0.9487179487179488,positive_case_higher,5,15,-0.0689913140999599,-0.0372093045911869,0.031782009508773,0.375993140375974,0.0845281631388078,0.0809565506118159,0.3488297983292054,-0.6027498541134267,0.7646629553370586,0.5165740229597885,-0.9315285343893696,1.0934416356130017,0.8713880288957688,exact_15504_allocations,0.53,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_4,endothelial,singscore,primary,30,primary,0.9659090909090908,positive_case_higher,5,15,0.5743822887810328,0.6086950833201239,0.034312794539091,0.0738859087315015,0.4644024162141989,0.4447797789093736,0.3831968391989079,-0.3062860259204858,1.1958455837392332,0.5216914012167717,-0.5777353674754988,1.4672949252942462,0.3795794633642931,exact_15504_allocations,0.98,True
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_4,endothelial,standardized_mean,primary,30,primary,0.9659090909090908,positive_case_higher,5,15,-0.2320622879500406,-0.0127106033331567,0.2193516846168839,0.4113804105753192,0.5332088718325663,0.5106789195016128,0.3860881422119102,-0.2460538392337312,1.2674116782369569,0.5233649926417226,-0.5151164660761636,1.5364743050793892,0.3154024767801857,exact_15504_allocations,0.931,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_5,endothelial,singscore,primary,30,primary,0.96,positive_case_higher,5,15,0.4749740993516827,0.4791059648036,0.0041318654519173,0.0816712489244147,0.0505914321910433,0.0484537660421259,0.4946134152267142,-0.920988527802234,1.017896059886486,0.5164609205244776,-0.96380963818585,1.060717170270102,0.9220201238390092,exact_15504_allocations,0.7,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_5,endothelial,standardized_mean,primary,30,primary,0.96,positive_case_higher,5,15,-0.2135985052700262,-0.0588340225587992,0.154764482711227,0.3835679068856676,0.4034865272431631,0.3864378007399309,0.5466764105696249,-0.6850479639765339,1.4579235654563958,0.5203987299775452,-0.6335437100160577,1.4064193114959196,0.4370485036119711,exact_15504_allocations,0.731,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_6_SAENDO1,endothelial,singscore,primary,30,primary,1.0,positive_case_higher,5,15,0.4091694671147383,0.4654232677228356,0.0562538006080973,0.0689556311879346,0.8157970515095543,0.7813267535584464,0.7219482681469163,-0.6336918520095095,2.1963453591264024,0.5325638067099508,-0.2624983075930572,1.82515181470995,0.1294504643962848,exact_15504_allocations,0.961,True
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_6_SAENDO1,endothelial,standardized_mean,primary,30,primary,1.0,positive_case_higher,5,15,-0.2851181931995055,-0.1174729866826456,0.1676452065168598,0.4069534399388065,0.4119518108559757,0.3945453963127655,0.6385003975440521,-0.8569153828735767,1.6460061754991075,0.5205676941184179,-0.6257672841593336,1.4148580767848644,0.4336300309597523,exact_15504_allocations,0.708,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,singscore,primary,30,primary,0.8,positive_case_higher,3,7,0.2122116276837423,0.2072006801632757,-0.0050109475204666,0.0876418005666573,-0.0571753146109258,-0.0516422196485782,0.4505334304306617,-0.9346877432926752,0.8314033039955188,0.690186321668733,-1.4044074101192947,1.3011229708221383,0.9083333333333332,exact_120_allocations,0.37,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,standardized_mean,primary,30,primary,0.8,positive_case_higher,3,7,0.0818520163687613,0.0251346026311274,-0.0567174137376338,0.372222175528115,-0.1523751604996727,-0.1376291772255109,0.4378752649840987,-0.9958646965943444,0.7206063421433224,0.6909228163058171,-1.4918378971849124,1.2165795427338906,0.8333333333333334,exact_120_allocations,0.157,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,singscore,primary,30,primary,0.8785714285714286,positive_case_higher,3,7,0.4997084026856199,0.5655965629667034,0.0658881602810834,0.0634618862588518,1.0382319871857446,0.9377579239097048,0.929291084259414,-0.8836526012387463,2.759168449058156,0.7288019939815211,-0.4906939842940766,2.366209832113486,0.1833333333333333,exact_120_allocations,0.392,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,standardized_mean,primary,30,primary,0.8785714285714286,positive_case_higher,3,7,-0.2092949810627172,0.0926043164813818,0.3018992975440991,0.2745264432069938,1.099709354105703,0.993285868224506,0.7664549133220847,-0.5089657618867801,2.495537498335792,0.7333853197272108,-0.4441493584408272,2.4307210948898392,0.1583333333333333,exact_120_allocations,0.073,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,singscore,primary,30,primary,1.0,positive_case_higher,3,7,0.381202613618173,0.3757878586916525,-0.0054147549265205,0.0918914079468692,-0.0589255845296364,-0.0532231086074135,0.9939483613538838,-2.0013618968610256,1.8949156796461983,0.6901938277731053,-1.4060030110427,1.299556793827873,0.9166666666666666,exact_120_allocations,0.067,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,standardized_mean,primary,30,primary,1.0,positive_case_higher,3,7,0.0403233621961743,0.0666766380778386,0.0263532758816643,0.3657850110440133,0.0720458058312656,0.0650736310734012,1.0589560407226737,-2.010480208743039,2.140627470889841,0.6902572978837627,-1.2878306727787736,1.417977934925576,0.9,exact_120_allocations,0.006,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,singscore,primary,30,primary,0.8297872340425532,positive_case_higher,3,7,0.6563110368607198,0.6509384437502831,-0.0053725931104366,0.0572468771378204,-0.0938495404299925,-0.0847673268399933,0.8941989853038451,-1.8373973380355295,1.667862684355543,0.6903908819804191,-1.4379334555216148,1.268398801841628,0.9,exact_120_allocations,0.053,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,standardized_mean,primary,30,primary,0.8297872340425532,positive_case_higher,3,7,0.1392273388373754,-0.0062354028217893,-0.1454627416591648,0.3274752243103881,-0.4441946469858499,-0.4012080682452838,0.7364059612007936,-1.8445637521988396,1.0421476157082716,0.6973169801582675,-1.767949349355488,0.9655332128649204,0.5083333333333333,exact_120_allocations,0.057,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,singscore,primary,30,primary,0.9491525423728814,positive_case_higher,3,7,0.2962498531029988,0.3295027828124294,0.0332529297094306,0.062570629131044,0.5314463058983747,0.48001601823079,0.9885006891936408,-1.457445332588746,2.417477369050326,0.700422327813984,-0.8928117442846186,1.8528437807461984,0.4416666666666666,exact_120_allocations,0.174,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,standardized_mean,primary,30,primary,0.9491525423728814,positive_case_higher,3,7,-0.2739148313466659,0.0704454808474986,0.3443603121941645,0.2084735896534801,1.651817444917373,1.491964143796337,1.0059484415576017,-0.4796948016565623,3.463623089249236,0.7844187587563465,-0.0454966233661022,3.029424910958776,0.0333333333333333,exact_120_allocations,0.415,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,singscore,primary,30,primary,0.9625,positive_case_higher,4,4,0.8139687445332089,0.8051514873836875,-0.0088172571495214,0.0385893885703707,-0.2284891644096012,-0.1986862299213923,0.7099970268936756,-1.5902804026329964,1.1929079427902118,0.709429126009097,-1.5891673168992224,1.1917948570564378,0.7428571428571429,exact_70_allocations,0.788,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,standardized_mean,primary,30,primary,0.9625,positive_case_higher,4,4,0.1519743754758865,-0.0995052897634411,-0.2514796652393277,0.4657326328747994,-0.5399657388983772,-0.4695354251290236,0.7099970268936755,-1.8611295978406277,0.9220587475825804,0.7199805272512059,-1.880697258541387,0.94162640828334,0.4,exact_70_allocations,0.3,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,singscore,primary,30,primary,0.9555555555555556,positive_case_higher,4,4,0.2808284446007382,0.3100418193386688,0.0292133747379306,0.0673578072526381,0.4337043607782593,0.3771342267637038,0.7099970268936755,-1.0144599459479,1.7687283994753078,0.715438689721014,-1.0251256050894837,1.7793940586168913,0.5428571428571428,exact_70_allocations,0.946,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,standardized_mean,primary,30,primary,0.9555555555555556,positive_case_higher,4,4,-0.1734745719724376,-0.0524626870582611,0.1210118849141764,0.346706082183449,0.3490330603722915,0.3035070090193839,0.7099970268936754,-1.0880871636922198,1.6951011817309876,0.7125141229316028,-1.0930206719265576,1.7000346899653254,0.7142857142857143,exact_70_allocations,0.686,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,singscore,primary,30,primary,0.9487179487179488,positive_case_higher,4,4,0.5864159322679502,0.6005865089945808,0.0141705767266305,0.0501260550651594,0.2826988221636448,0.2458250627509955,0.7099970268936755,-1.1457691099606084,1.6374192354625994,0.7106587297170451,-1.147066047494413,1.638716172996404,0.8285714285714286,exact_70_allocations,0.97,True
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,standardized_mean,primary,30,primary,0.9487179487179488,positive_case_higher,4,4,0.0153868302007663,-0.0913605773856231,-0.1067474075863894,0.3569897276893715,-0.2990209502030095,-0.2600182175678343,0.7099970268936756,-1.6516123902794384,1.13157595514377,0.7110795474410226,-1.6537341305522386,1.13369769541657,0.6857142857142857,exact_70_allocations,0.43,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,singscore,primary,30,primary,0.9659090909090908,positive_case_higher,4,4,0.5757986994361456,0.6404913723477329,0.0646926729115873,0.0777600800340464,0.8319522418606348,0.7234367320527259,0.7099970268936756,-0.6681574406588783,2.11503090476433,0.7373014255424488,-0.7216740620104739,2.1685475261159257,0.3142857142857143,exact_70_allocations,0.999,True
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,standardized_mean,primary,30,primary,0.9659090909090908,positive_case_higher,4,4,-0.2034397337904545,0.1614755457988479,0.3649152795893025,0.4853676483093124,0.751832720743578,0.6537675832552852,0.7099970268936756,-0.737826589456319,2.0453617559668893,0.7318590513727954,-0.7806761574353938,2.088211323945964,0.3428571428571428,exact_70_allocations,0.917,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_5,endothelial,singscore,primary,30,primary,0.96,positive_case_higher,4,4,0.5161083007572602,0.5095924185865188,-0.0065158821707413,0.0708763465704534,-0.0919330987844356,-0.079941825029944,0.7099970268936754,-1.4715359977415476,1.3116523476816595,0.7074832563029977,-1.4666090073838194,1.3067253573239317,0.9714285714285714,exact_70_allocations,0.919,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_5,endothelial,standardized_mean,primary,30,primary,0.96,positive_case_higher,4,4,-0.0707277380343102,0.1696326636028434,0.2403604016371537,0.3964002356014257,0.6063578677557406,0.5272677110919484,0.7099970268936755,-0.8643264616196555,1.9188618838035525,0.7233032581589448,-0.8904066748995834,1.94494209708348,0.4,exact_70_allocations,0.772,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_6_SAENDO1,endothelial,singscore,primary,30,primary,1.0,positive_case_higher,4,4,0.4331232997279564,0.4969021710140289,0.0637788712860725,0.0837974699335955,0.761107362031496,0.66183248872304,0.7099970268936753,-0.7297616839885634,2.0534266614346435,0.7324628684063862,-0.7737947333534769,2.0974597107995567,0.4285714285714285,exact_70_allocations,0.907,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_6_SAENDO1,endothelial,standardized_mean,primary,30,primary,1.0,positive_case_higher,4,4,-0.1014786219311615,0.0173520701809145,0.1188306921120761,0.476868359558985,0.2491897181477347,0.2166867114328128,0.7099970268936754,-1.1749074612787909,1.6082808841444165,0.7098681292390139,-1.1746548218756545,1.60802824474128,0.7142857142857143,exact_70_allocations,0.549,False
