dataset_id,analysis_set,lineage,program_id,score_method,histology_axis,n_donors,n_levels,spearman_rho,permutation_p_two_sided,permutations,fdr_within_set_lineage_method_axis
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,standardized_mean,steatosis,37,4,0.2886438548824686,0.084991500849915,10000,0.1841815818418158
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,standardized_mean,ballooning,37,3,0.078779775886671,0.645035496450355,10000,0.7888011198880113
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_3,standardized_mean,inflammation,37,3,-0.1039322872903027,0.5383461653834617,10000,0.7858014198580141
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,singscore,fibrosis,39,5,0.0808417196932416,0.6227377262273772,10000,0.8088391160883912
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,singscore,steatosis,37,4,0.1895765120566797,0.2560743925607439,10000,0.5121487851214879
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,singscore,ballooning,37,3,0.0774073059234886,0.6496350364963503,10000,0.7795620437956204
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,singscore,inflammation,37,3,-0.1528739463846781,0.3620637936206379,10000,0.6011398860113989
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,standardized_mean,fibrosis,39,5,0.0797999449549266,0.6322367763223677,10000,0.8434156584341567
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,standardized_mean,steatosis,37,4,0.1801106533835349,0.2783721627837216,10000,0.4175582441755824
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,standardized_mean,ballooning,37,3,0.0743878720044872,0.6573342665733427,10000,0.7888011198880113
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_4,standardized_mean,inflammation,37,3,-0.1248287260047551,0.4613538646135386,10000,0.7858014198580141
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,singscore,fibrosis,39,5,0.0176059930775229,0.9162083791620838,10000,0.9162083791620838
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,singscore,steatosis,37,4,0.0416238443024584,0.8058194180581941,10000,0.927007299270073
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,singscore,ballooning,37,3,0.0889360536142209,0.5983401659834017,10000,0.7795620437956204
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,singscore,inflammation,37,3,-0.2139135436821575,0.2062793720627937,10000,0.6011398860113989
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,standardized_mean,fibrosis,39,5,0.0805291872717471,0.6296370362963704,10000,0.8434156584341567
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,standardized_mean,steatosis,37,4,0.0899904920433212,0.5962403759624038,10000,0.5962403759624038
