dataset_id,contrast,program_id,lineage,score_method,n_control,n_case,unadjusted_standardized_beta,unadjusted_hc3_low,unadjusted_hc3_high,unadjusted_p,adjusted_standardized_beta,adjusted_hc3_low,adjusted_hc3_high,adjusted_p,sign_retained,magnitude_retention_ratio,adjusted_fdr_within_context_method,composition_stable,both_adjusted_intervals_positive
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_1,endothelial,singscore,5,9,-0.5075289219625188,-1.385479406498806,0.3704215625737683,0.2571957005857297,-0.9719814528352764,-1.9562592568075776,0.0122963511370248,0.0529272301828345,True,1.9151252485805288,0.2481632670768132,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_1,endothelial,standardized_mean,5,9,-0.597560828268856,-1.4522855325158184,0.2571638759781062,0.1705969379343943,-0.9854792078812072,-1.951471800500068,-0.0194866152623464,0.0455501353544179,True,1.6491696932949191,0.2286948859385989,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_2,endothelial,singscore,5,9,1.174296267002595,0.3601691695659932,1.9884233644391969,0.0046971302850502,1.1543616468938758,0.2531724784243471,2.055550815363405,0.0120517353406579,True,0.9830241986891411,0.0803472363555648,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_2,endothelial,standardized_mean,5,9,1.0365027906995214,0.0874985281234376,1.9855070532756052,0.0322972143582861,1.1271639289389086,-0.0549574494284645,2.309285307306282,0.0616397116554937,True,1.0874683011496775,0.2286948859385989,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_3,endothelial,singscore,5,9,0.8192614437938288,-0.1405644723558314,1.779087359943489,0.0943347471610253,0.3160645170580514,-0.9680612961145588,1.6001903302306617,0.6295084577612314,True,0.3857920074871613,0.8226935024465869,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_3,endothelial,standardized_mean,5,9,0.2044846928893031,-0.7661659843533668,1.175135370131973,0.6796735906633082,-0.1925028312488702,-1.6770381478827163,1.2920324853849765,0.7993740053346813,False,0.9414046035860532,0.911638948108234,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_4,endothelial,singscore,5,9,0.5498769834681323,-0.4553201698695632,1.5550741368058278,0.2836362415303025,0.2062352485254137,-0.6298447118588114,1.042315208909639,0.6287607750004747,True,0.3750570668091366,0.8226935024465869,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_4,endothelial,standardized_mean,5,9,0.1863709010683097,-0.7930694266212662,1.1658112287578857,0.7091820892254062,-0.0663307112111836,-0.9801340060662864,0.8474725836439193,0.8868655325690906,False,0.3559070156927112,0.911638948108234,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_5,endothelial,singscore,5,9,0.9546836285055016,-0.0618964595692406,1.971263716580244,0.0656711673517587,1.1488333181112118,-0.1670727603976047,2.464739396620028,0.0870533394751885,True,1.203365475020913,0.2481632670768132,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_5,endothelial,standardized_mean,5,9,0.7584083449086638,-0.3276992786876185,1.844515968504946,0.1711147083145529,1.1465031677281103,-0.1550522501719506,2.448058585628172,0.0842560106089575,True,1.5117227749731383,0.2286948859385989,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_6_SAENDO1,endothelial,singscore,5,9,1.2168048189533167,0.3675495876375396,2.066060050269094,0.0049808546310856,1.1958714311262515,0.2847785405552884,2.106964321697215,0.0100928050621618,True,0.982796429221022,0.0803472363555648,True,True
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_6_SAENDO1,endothelial,standardized_mean,5,9,1.1251343794866322,0.1869112547729612,2.063357504200303,0.0187498223536347,1.154630915987249,0.2151560550772001,2.094105776897298,0.016001820059334,True,1.0262160120945512,0.1520172905636735,True,True
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_7_SAENDO2,endothelial,singscore,5,9,0.8602681854041025,-0.2342337635836604,1.9547701343918653,0.1234284219432998,0.8176347331466801,-0.2067568070836772,1.8420262733770376,0.11772229720795,True,0.9504416727472076,0.2795904558688813,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_ENDO_7_SAENDO2,endothelial,standardized_mean,5,9,0.4330089446830144,-0.910154381491914,1.776172270857943,0.5274752723565217,0.6382430463744749,-0.6734073835354096,1.9498934762843596,0.3402218720419534,True,1.4739719680426064,0.6293362857503401,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,singscore,4,9,1.3353639065327074,0.4507830010454892,2.219944812019926,0.0030882216565245,1.194165565132965,-0.1924989961309775,2.580830126396908,0.0914285720809312,True,0.8942622750929624,0.2481632670768132,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,standardized_mean,4,9,1.2442532615802355,0.4490061680053536,2.039500355155117,0.0021647954660529,1.4288242980769563,0.0012270403768508,2.856421555777062,0.0497992102505761,True,1.148338800625132,0.2286948859385989,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,singscore,4,9,1.144272067812356,0.0009658987475664,2.287578236877146,0.049802563394987,0.5893266503141522,-0.5305533737335731,1.7092066743618777,0.3023382218020095,True,0.5150231897566455,0.5744426214238181,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,standardized_mean,4,9,0.8698849311626691,-0.1971478294083313,1.9369176917336692,0.1100729908605974,0.7803274818844212,-0.7629624324346787,2.323617396203521,0.3216724310515058,True,0.8970467862243029,0.6293362857503401,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,singscore,4,9,-0.0925848953506662,-1.5108185353285837,1.3256487446272511,0.8981866443402603,-1.0001144531082085,-1.7865783067338403,-0.2136505994825764,0.0126864057403523,True,10.802134077273244,0.0803472363555648,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,standardized_mean,4,9,-0.3485949774385544,-1.6414546442687783,0.9442646893916696,0.5971685439758427,-1.118429509598688,-1.9183478750393612,-0.3185111441580146,0.0061358488218803,True,3.2083924955454344,0.1165811276157266,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,singscore,4,9,0.3576677211289544,-1.5708395427801731,2.286174985038082,0.7162250835956236,-0.2117650616869167,-1.4890764242503662,1.065546300876533,0.7452205768509862,False,0.5920720522905851,0.8328935858922787,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,standardized_mean,4,9,-0.1479530609643265,-1.7401230280486923,1.4442169061200394,0.8554777074391324,-0.1186683816764916,-1.1734712614701603,0.936134498117177,0.8254773479035384,True,0.8020677700281185,0.911638948108234,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,singscore,4,9,1.348160784654436,0.1692393203424922,2.52708224896638,0.0250023412435103,0.8368651631765784,-0.0845004370375728,1.7582307633907297,0.0750360128694765,True,0.620745813631633,0.2481632670768132,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,standardized_mean,4,9,1.3088216961195172,0.219711365762149,2.397932026476885,0.018502774032622,1.12644679477866,-0.1109070886078544,2.3638006781651746,0.0743716248896627,True,0.8606571835708603,0.2286948859385989,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,singscore,4,9,0.9702449830013352,-0.1291854166551163,2.0696753826577865,0.0836846359204857,0.7441601767775361,-0.5254550798948407,2.013775433449913,0.2506319819590633,True,0.7669817312278873,0.5291119619135781,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,standardized_mean,4,9,0.535202530369336,-0.4802547331330171,1.550659793871689,0.3015902546818222,0.6426564987389353,-0.5953830586981429,1.880696056176013,0.3089534677358212,True,1.2007725342693107,0.6293362857503401,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,singscore,5,9,0.9518915295911334,-0.3146205450319548,2.2184036042142217,0.1407222723859743,-0.3829528474756754,-1.7055105914038535,0.9396048964525028,0.5703560070337781,False,0.4023072330942637,0.8226935024465869,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,standardized_mean,5,9,0.567219573490566,-0.8485482119093483,1.98298735889048,0.4322992580353513,-0.8052401829215511,-2.575243847715205,0.9647634818721028,0.3725663270601574,False,1.419626932064861,0.6293362857503401,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,singscore,5,9,1.3512593414980925,0.6454099492051043,2.0571087337910807,0.0001753091332944,0.2006861335295141,-1.3782234030591698,1.7795956701181983,0.8032645897915144,True,0.1485178509900406,0.8455863004169129,False,False
