dataset_id,contrast,lineage,score_method,program_id,n_control,n_case,valid_bootstraps,positive_effect_probability,effect_median,effect_ci95_low,effect_ci95_high,rank_median,rank_ci95_low,rank_ci95_high,top_five_probability,context
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_MESOTHELIAL,3,7,10000,0.9865,1.6958365949879308,0.2699139652123172,5.346772135896387,1.0,1.0,2.0,1.0,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_SAMES,3,7,10000,0.9199,1.0155608626814523,-0.4946535284466454,3.454120549760547,2.0,2.0,3.0,1.0,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_VSMC,3,7,10000,0.4524,-0.0741796691751011,-2.744414446519306,2.214426759043212,5.0,3.0,6.0,0.6559,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_A,3,7,10000,0.4631,-0.0549251331751036,-1.8014373105715566,1.7135038229001838,5.0,3.0,6.0,0.7425,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_B,3,7,10000,0.7503,0.4822832482811118,-1.4632634644256235,2.9449199918271867,3.0,2.0,5.0,0.9796,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_HSC,3,7,10000,0.3624,-0.1460295846273323,-1.181583655399079,0.7904708380606709,5.0,3.0,6.0,0.6909,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_MESOTHELIAL,3,7,10000,1.0,2.947551125323365,1.4367899599225624,12.409197015300292,1.0,1.0,1.0,1.0,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_SAMES,3,7,10000,0.9577,1.1118344122327382,-0.1716339345646902,3.68201793924855,3.0,2.0,4.0,1.0,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_VSMC,3,7,10000,0.5357,0.0652088253695855,-2.310785572244766,2.7537334765781063,4.0,3.0,6.0,0.7766,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_A,3,7,10000,0.2386,-0.4220910723257604,-2.2166237665147146,0.6938802545430259,5.0,4.0,6.0,0.5325,202:F3-4
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_B,3,7,10000,0.9872,1.6262311928132074,0.2516672864189372,4.694159564854777,2.0,2.0,3.0,1.0,202:F3-4
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_1,5,9,10000,0.0922,-0.4707883384495053,-1.1548008940066876,0.4741220248676316,7.0,5.0,7.0,0.0256,244:MASH
