dataset_id,contrast,assay,annotation,control_id,lineage,score_method,cell_gate,measured_genes,module_coverage,status,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode,fdr_bh,positive_fdr_005,cohort,module,column
GSE290642_human,f4_vs_f0_reconstructed_label_sensitivity,scRNA-seq,reconstructed,CANONICAL_LSEC_CAPILLARIZATION,endothelial,singscore,20,13,1.0,evaluated,3,3,0.1714849648731614,0.2137778277907252,0.0422928629175638,0.0307281988004679,1.376353465824353,1.1010827726594823,0.7999999999999997,-0.4669172273405169,2.6690827726594817,0.9045521409502072,-0.6718394236029233,2.8740049689218883,0.2,exact_20_allocations,0.547781217750258,False,GSE290642,LSEC capillarization,"GSE290642
Rank"
GSE290642_human,f4_vs_f0_reconstructed_label_sensitivity,scRNA-seq,reconstructed,CANONICAL_LSEC_CAPILLARIZATION,endothelial,standardized_mean,20,13,1.0,evaluated,3,3,0.0970416730720054,0.7668429056761217,0.6698012326041163,0.6235804889538912,1.0741215359828915,0.8592972287863134,0.7999999999999997,-0.708702771213686,2.427297228786313,0.8711863363205637,-0.8482279904019916,2.5668224479746184,0.3,exact_20_allocations,0.547781217750258,False,GSE290642,LSEC capillarization,"GSE290642
Z-mean"
GSE210077_Watson6,mixed_f2f4_fibrosis_vs_healthy_sensitivity,snRNA-seq,author,CANONICAL_HSC_ACTIVATION,mesenchymal_hsc_myofibroblast,singscore,30,14,0.875,evaluated,3,3,0.3071672002766086,-0.0610691053669083,-0.368236305643517,0.0874624345020751,-4.210222454244401,-3.368177963395521,0.7999999999999996,-4.9361779633955205,-1.8001779633955215,1.443864438167436,-6.198152262203696,-0.5382036645873463,0.1,exact_20_allocations,0.345939774511203,False,Watson6,HSC activation,"Watson6
Rank"
GSE210077_Watson6,mixed_f2f4_fibrosis_vs_healthy_sensitivity,snRNA-seq,author,CANONICAL_HSC_ACTIVATION,mesenchymal_hsc_myofibroblast,standardized_mean,30,14,0.875,evaluated,3,3,0.2639195338233168,-0.2639195338233169,-0.5278390676466338,0.2198674674836888,-2.4007147291392354,-1.9205717833113884,0.8,-3.4885717833113885,-0.3525717833113884,1.0619515824759396,-4.00199688496423,0.1608533183414531,0.1,exact_20_allocations,0.345939774511203,False,Watson6,HSC activation,"Watson6
Z-mean"
GSE210077_Watson6,mixed_f2f4_fibrosis_vs_healthy_sensitivity,snRNA-seq,author,CANONICAL_LSEC_CAPILLARIZATION,endothelial,singscore,30,13,1.0,evaluated,3,3,0.1008293711163354,0.0501279544183158,-0.0507014166980196,0.0803631811393487,-0.6309035553247202,-0.5047228442597762,0.7999999999999999,-2.072722844259776,1.0632771557402236,0.8357689934164682,-2.142830071356053,1.1333843828365011,0.4,exact_20_allocations,0.6000000000000001,False,Watson6,LSEC capillarization,"Watson6
Rank"
GSE210077_Watson6,mixed_f2f4_fibrosis_vs_healthy_sensitivity,snRNA-seq,author,CANONICAL_LSEC_CAPILLARIZATION,endothelial,standardized_mean,30,13,1.0,evaluated,3,3,0.0492569628631217,-0.0492569628631217,-0.0985139257262435,0.2814869374895072,-0.3499768998336406,-0.2799815198669125,0.8000000000000002,-1.8479815198669127,1.2880184801330878,0.8224751504453128,-1.8920328147397256,1.3320697750059007,0.7,exact_20_allocations,0.7999999999999998,False,Watson6,LSEC capillarization,"Watson6
Z-mean"
GSE210077_Watson6,mixed_f2f4_fibrosis_vs_healthy_sensitivity,snRNA-seq,author,CANONICAL_SCAR_MACROPHAGE,macrophage_monocyte,singscore,30,9,0.9,evaluated,3,3,0.5261522173211811,-0.1104072227094177,-0.6365594400305988,0.231872445779436,-2.745300063105011,-2.196240050484009,0.8000000000000004,-3.76424005048401,-0.6282400504840082,1.1267654865079144,-4.404700404039521,0.0122203030715031,0.1,exact_20_allocations,0.345939774511203,False,Watson6,Scar macrophage,"Watson6
Rank"
GSE210077_Watson6,mixed_f2f4_fibrosis_vs_healthy_sensitivity,snRNA-seq,author,CANONICAL_SCAR_MACROPHAGE,macrophage_monocyte,standardized_mean,30,9,0.9,evaluated,3,3,0.5164063747980671,-0.5164063747980673,-1.0328127495961343,0.595346161799047,-1.7348104613207362,-1.387848369056589,0.8000000000000005,-2.95584836905659,0.1801516309434119,0.9525922808858448,-3.254929239592845,0.4792325014796665,0.1,exact_20_allocations,0.345939774511203,False,Watson6,Scar macrophage,"Watson6
Z-mean"
GSE181483_human,cirrhosis_vs_healthy_directional,scRNA-seq,reconstructed,CANONICAL_HSC_ACTIVATION,mesenchymal_hsc_myofibroblast,singscore,20,16,1.0,evaluated,2,2,0.3596743684194499,0.3105249077063268,-0.049149460713123,0.0361524887856105,-1.3595042101966066,-0.7768595486837752,0.808122035641768,-2.360778738541641,0.8070596411740901,1.0727896763090563,-2.879527314249525,1.325808216881975,0.3333333333333333,exact_6_allocations,0.547781217750258,False,GSE181483,HSC activation,"GSE181483
Rank"
GSE181483_human,cirrhosis_vs_healthy_directional,scRNA-seq,reconstructed,CANONICAL_HSC_ACTIVATION,mesenchymal_hsc_myofibroblast,standardized_mean,20,16,1.0,evaluated,2,2,-0.0645087394468749,0.0645087394468749,0.1290174788937498,0.2382049334181664,0.5416238742094437,0.3094993566911106,0.808122035641768,-1.274419833166755,1.893418546548976,1.011902892054397,-1.6738303117355076,2.292829025117729,0.6666666666666666,exact_6_allocations,0.7999999999999998,False,GSE181483,HSC activation,"GSE181483
Z-mean"
GSE181483_human,cirrhosis_vs_healthy_directional,scRNA-seq,reconstructed,CANONICAL_LSEC_CAPILLARIZATION,endothelial,singscore,30,13,1.0,evaluated,2,2,0.1891769600281276,0.2454212462864138,0.0562442862582862,0.0533663279636294,1.0539283552845928,0.6022447744483387,0.8081220356417681,-0.9816744154095268,2.1861639643062043,1.0443537198131592,-1.4446885163854533,2.6491780652821304,0.6666666666666666,exact_6_allocations,0.7999999999999998,False,GSE181483,LSEC capillarization,"GSE181483
Rank"
GSE181483_human,cirrhosis_vs_healthy_directional,scRNA-seq,reconstructed,CANONICAL_LSEC_CAPILLARIZATION,endothelial,standardized_mean,30,13,1.0,evaluated,2,2,-0.3068276209646661,0.3068276209646671,0.6136552419293332,0.4641142067074102,1.3222074072733514,0.7555470898704865,0.8081220356417681,-0.828372099987379,2.339466279728352,1.068977479301103,-1.3396487695596755,2.8507429493006486,0.6666666666666666,exact_6_allocations,0.7999999999999998,False,GSE181483,LSEC capillarization,"GSE181483
Z-mean"
GSE181483_human,cirrhosis_vs_healthy_directional,scRNA-seq,reconstructed,CANONICAL_SCAR_MACROPHAGE,macrophage_monocyte,singscore,30,10,1.0,evaluated,2,2,0.8060178306092124,0.859888558692422,0.0538707280832095,0.0215637818627127,2.4982040917581694,1.4275451952903824,0.8081220356417679,-0.1563739945674827,3.011464385148248,1.2286054375384978,-0.9805214622850732,3.835611852865838,0.3333333333333333,exact_6_allocations,0.547781217750258,False,GSE181483,Scar macrophage,"GSE181483
Rank"
GSE181483_human,cirrhosis_vs_healthy_directional,scRNA-seq,reconstructed,CANONICAL_SCAR_MACROPHAGE,macrophage_monocyte,standardized_mean,30,10,1.0,evaluated,2,2,0.0081322145288599,-0.0081322145288607,-0.0162644290577206,0.4516789293458177,-0.0360088283978112,-0.0205764733701778,0.808122035641768,-1.6044956632280432,1.5633427164876874,1.0000529225066483,-1.9806802014832088,1.9395272547428528,1.0,exact_6_allocations,1.0,False,GSE181483,Scar macrophage,"GSE181483
Z-mean"
