dataset_id,contrast,core_id,lineage,score_method,real_hedges_g,random_g_median,random_g_95th_percentile,real_effect_percentile,empirical_p_one_sided,above_random_95th_percentile,random_modules,dataset,core
GSE290642_human,f4_vs_f0_reconstructed_label_sensitivity,EXPLORATORY_ENDOTHELIAL_CORE5,endothelial,singscore,2.7531668700362784,1.0073487897025135,3.2592714642119573,0.924,0.0769230769230769,False,1000,GSE290642,Endothelial Core5
GSE290642_human,f4_vs_f0_reconstructed_label_sensitivity,EXPLORATORY_ENDOTHELIAL_CORE5,endothelial,standardized_mean,2.675057121480465,1.3692447585691254,4.305177996392883,0.802,0.1988011988011988,False,1000,GSE290642,Endothelial Core5
GSE210077_Watson6,mixed_f2f4_fibrosis_vs_healthy_sensitivity,EXPLORATORY_ENDOTHELIAL_CORE5,endothelial,singscore,-3.134895361201491,0.6506158698891003,8.83792073062602,0.197,0.8031968031968032,False,1000,Watson6,Endothelial Core5
GSE210077_Watson6,mixed_f2f4_fibrosis_vs_healthy_sensitivity,EXPLORATORY_ENDOTHELIAL_CORE5,endothelial,standardized_mean,-1.3322855450694808,0.43160520644182,4.64374412955547,0.234,0.7662337662337663,False,1000,Watson6,Endothelial Core5
GSE210077_Watson6,mixed_f2f4_fibrosis_vs_healthy_sensitivity,EXPLORATORY_MESENCHYMAL_HSC_MYOFIBROBLAST_CORE5,mesenchymal_hsc_myofibroblast,singscore,0.7903957846425119,-0.1498498967935612,8.06248730674372,0.613,0.3876123876123876,False,1000,Watson6,Mesenchymal Core5
GSE210077_Watson6,mixed_f2f4_fibrosis_vs_healthy_sensitivity,EXPLORATORY_MESENCHYMAL_HSC_MYOFIBROBLAST_CORE5,mesenchymal_hsc_myofibroblast,standardized_mean,2.2697172273798443,-0.0382504905743941,7.262244489324133,0.767,0.2337662337662337,False,1000,Watson6,Mesenchymal Core5
GSE181483_human,cirrhosis_vs_healthy_directional,EXPLORATORY_ENDOTHELIAL_CORE5,endothelial,singscore,-1.73947171813858,0.1320998064638496,2.0269805002220163,0.035,0.965034965034965,False,1000,GSE181483,Endothelial Core5
GSE181483_human,cirrhosis_vs_healthy_directional,EXPLORATORY_ENDOTHELIAL_CORE5,endothelial,standardized_mean,-0.6465514956306411,0.5526301879651244,3.1441133596489728,0.065,0.935064935064935,False,1000,GSE181483,Endothelial Core5
GSE181483_human,cirrhosis_vs_healthy_directional,EXPLORATORY_MESENCHYMAL_HSC_MYOFIBROBLAST_CORE5,mesenchymal_hsc_myofibroblast,singscore,0.0786742803764859,-0.0482297483792536,2.855470959576039,0.732,0.2687312687312687,False,1000,GSE181483,Mesenchymal Core5
GSE181483_human,cirrhosis_vs_healthy_directional,EXPLORATORY_MESENCHYMAL_HSC_MYOFIBROBLAST_CORE5,mesenchymal_hsc_myofibroblast,standardized_mean,0.5173410480140429,0.0448113992074463,1.352436926527533,0.787,0.2137862137862138,False,1000,GSE181483,Mesenchymal Core5
