program_id,lineage,representative_cohorts_evaluable,median_program_coverage,minimum_program_coverage,score_method_sign_agreement_fraction,expected_positive_effect_fraction,random_specific_both_scores_context_fraction,positive_formal_primary_interval_both_scores,dual_score_fdr_positive_stage_trend,advanced_meta_positive_interval_both_scores,assay_robust,measurement_domain_0_20,score_method_domain_0_20,directional_transfer_domain_0_20,matched_random_specificity_domain_0_20,endpoint_evidence_domain_0_20,transportability_readiness_total_0_100,interpretation,program
RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,3,0.9455081001472754,0.8512518409425626,1.0,0.6666666666666666,0.6666666666666666,False,False,False,False,17.96759941089838,20.0,13.333333333333332,13.333333333333332,0,64.63426607756504,exploratory prioritization index; not a clinical score or replication definition,SAM-B
RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,3,0.8787878787878788,0.7727272727272727,1.0,0.6666666666666666,0.6666666666666666,False,False,False,False,16.515151515151516,20.0,13.333333333333332,13.333333333333332,0,63.18181818181817,exploratory prioritization index; not a clinical score or replication definition,SAM-A
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,3,0.9384615384615383,0.8153846153846154,1.0,0.6666666666666666,0.3333333333333333,False,False,False,False,17.538461538461537,20.0,13.333333333333332,6.666666666666666,0,57.538461538461526,exploratory prioritization index; not a clinical score or replication definition,cDC1-F
RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,4,0.8997747747747749,0.795045045045045,1.0,0.75,0.25,False,False,False,False,16.9481981981982,20.0,15.0,5.0,0,56.9481981981982,exploratory prioritization index; not a clinical score or replication definition,Mesothelial
RAM2019_ENDO_6_SAENDO1,endothelial,5,1.0,1.0,1.0,0.8,0.0,False,False,False,False,20.0,20.0,16.0,0.0,0,56.0,exploratory prioritization index; not a clinical score or replication definition,SAEndo1
RAM2019_ENDO_5,endothelial,5,0.96,0.9,1.0,0.8,0.0,False,False,False,False,18.6,20.0,16.0,0.0,0,54.6,exploratory prioritization index; not a clinical score or replication definition,Endo5
RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,4,0.9392857142857144,0.8785714285714286,1.0,0.75,0.0,False,False,False,False,18.178571428571427,20.0,15.0,0.0,0,53.17857142857143,exploratory prioritization index; not a clinical score or replication definition,SAMes
RAM2019_ENDO_2,endothelial,5,0.9555555555555556,0.8222222222222222,0.8,0.7,0.0,False,False,True,False,17.77777777777778,16.0,14.0,0.0,5,52.77777777777778,exploratory prioritization index; not a clinical score or replication definition,Endo2
