gene_set_id,score_method,donor_id,scar_score,parenchyma_score,scar_minus_parenchyma,label
Endo2_primary,standardized_mean,A1,0.5993100017102453,-0.7326473941308981,1.3319573958411437,"Endo2
z-mean"
Endo2_primary,standardized_mean,A2,0.4462181947616317,-1.0140773133414829,1.4602955081031144,"Endo2
z-mean"
Endo2_primary,standardized_mean,B1,0.164201013273137,-0.5657685393618506,0.7299695526349876,"Endo2
z-mean"
Endo2_primary,standardized_mean,B2,0.5938331839064606,-1.0628515118939938,1.6566846958004544,"Endo2
z-mean"
Endo2_primary,standardized_mean,C1,0.5469539004475183,-0.5029730019337001,1.0499269023812183,"Endo2
z-mean"
Endo2_primary,standardized_mean,C2,1.2144632106740356,-0.607090113629699,1.8215533243037347,"Endo2
z-mean"
Endo2_primary,standardized_mean,D1,0.4547853181900456,-0.2453021572882003,0.700087475478246,"Endo2
z-mean"
Endo2_primary,standardized_mean,D2,0.8832060686238614,-0.1722608600071125,1.055466928630974,"Endo2
z-mean"
Endo2_primary,singscore,A1,0.272907519332946,0.2480367550601103,0.0248707642728356,"Endo2
Rank"
Endo2_primary,singscore,A2,0.2836267468537165,0.2234774743475318,0.0601492725061847,"Endo2
Rank"
Endo2_primary,singscore,B1,0.2789485033813936,0.2496241232037282,0.0293243801776654,"Endo2
Rank"
Endo2_primary,singscore,B2,0.2925249935606764,0.2125336192592681,0.0799913743014083,"Endo2
Rank"
Endo2_primary,singscore,C1,0.2820693290524311,0.2336366304666862,0.0484326985857448,"Endo2
Rank"
Endo2_primary,singscore,C2,0.3055563875095092,0.257093738581432,0.0484626489280772,"Endo2
Rank"
Endo2_primary,singscore,D1,0.2651024601211192,0.2647580311842964,0.0003444289368227,"Endo2
Rank"
Endo2_primary,singscore,D2,0.2940524610196294,0.255877754682736,0.0381747063368934,"Endo2
Rank"
SAEndo1_primary,standardized_mean,A1,1.1335650668464965,-1.0572014785145174,2.1907665453610137,"SAEndo1
z-mean"
SAEndo1_primary,standardized_mean,A2,0.995052327014424,-0.5082925024132375,1.5033448294276617,"SAEndo1
z-mean"
SAEndo1_primary,standardized_mean,B1,0.0874501051610133,-0.4078272410063391,0.4952773461673525,"SAEndo1
z-mean"
SAEndo1_primary,standardized_mean,B2,0.3753229600789599,-1.013662951385839,1.388985911464799,"SAEndo1
z-mean"
SAEndo1_primary,standardized_mean,C1,0.2740155408777791,-0.7474152494264688,1.021430790304248,"SAEndo1
z-mean"
SAEndo1_primary,standardized_mean,C2,0.8469412264097226,-0.6552574166563891,1.5021986430661118,"SAEndo1
z-mean"
SAEndo1_primary,standardized_mean,D1,0.1823046034503476,-0.6504816548797975,0.8327862583301451,"SAEndo1
z-mean"
SAEndo1_primary,standardized_mean,D2,0.9812779036943924,0.1642087607494502,0.8170691429449422,"SAEndo1
z-mean"
SAEndo1_primary,singscore,A1,0.432613526772611,0.3802675164577131,0.0523460103148979,"SAEndo1
Rank"
SAEndo1_primary,singscore,A2,0.4236404042098202,0.39728709799153,0.0263533062182901,"SAEndo1
Rank"
SAEndo1_primary,singscore,B1,0.4031322068011237,0.3883810641955638,0.0147511426055599,"SAEndo1
Rank"
SAEndo1_primary,singscore,B2,0.4109983647113086,0.3331334647155017,0.0778648999958068,"SAEndo1
Rank"
SAEndo1_primary,singscore,C1,0.3953079793702042,0.3634869386557088,0.0318210407144954,"SAEndo1
Rank"
SAEndo1_primary,singscore,C2,0.4045033334731015,0.3957147050190784,0.0087886284540231,"SAEndo1
Rank"
SAEndo1_primary,singscore,D1,0.3949473772485219,0.3452849176066083,0.0496624596419136,"SAEndo1
Rank"
SAEndo1_primary,singscore,D2,0.3909472095266049,0.3651977022097362,0.0257495073168687,"SAEndo1
Rank"
