stratum,n_program_pair_rows,n_unique_cohort_lineage_score_pairs,program_pair_sign_agreement,median_pairwise_program_spearman,median_pairwise_sign_agreement,median_absolute_effect_difference,median_absolute_rank_z_difference
all_pairs,240,38,0.5,0.4464285714285715,0.5,1.7124128174220203,0.6927812328613023
exclude_watson,126,20,0.6984126984126984,0.4750000000000001,0.7142857142857143,0.7125111837424782,0.7414398937062606
minimum_coverage_ge_0_80,220,38,0.509090909090909,0.4464285714285715,0.5,1.78916918391277,0.6779633410617851
minimum_coverage_ge_0_80_exclude_watson,122,20,0.6885245901639344,0.4750000000000001,0.7142857142857143,0.7125111837424782,0.7527109352981113
comparable_advanced_endpoint,12,2,0.9166666666666666,0.6857142857142857,0.9166666666666669,0.6258514267087507,0.6912647312553952
