disease_group,endothelial,macrophage_monocyte,mesenchymal_hsc_myofibroblast
healthy,470.0,337.0,264.0
masld_f0,204.0,122.0,120.0
mash_fibrosis,527.5,511.5,633.0
mash_cirrhosis,283.0,273.5,389.0
alcohol_cirrhosis,235.0,278.0,419.5
alcohol_hepatitis,245.0,213.0,484.0
