held_out_dataset,lineage,score_method,program_id,observed_effect_z,predicted_effect_z_from_other_cohorts,n_training_cohorts
GSE244832,macrophage_monocyte,singscore,RAM2019_MAC_SIG_C_KC,-1.4949542059698266,-1.1143769189493558,2
GSE244832,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_C_KC,-1.24876591305763,-1.5245785492362365,2
GSE244832,macrophage_monocyte,singscore,RAM2019_MAC_SIG_D_TMO,-0.8940543007518138,0.4168051071499711,2
GSE244832,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_D_TMO,-1.0071830393496926,0.6346639525612067,2
GSE244832,macrophage_monocyte,singscore,RAM2019_MAC_SIG_E_TMO,0.9601428478689652,-0.7095921962317985,2
GSE244832,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_E_TMO,1.1483575955186882,-0.5168722752631426,2
GSE244832,macrophage_monocyte,singscore,RAM2019_MAC_SIG_F_CDC1,0.0731753184440346,-0.1189096791846209,2
GSE244832,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_F_CDC1,-0.1807821586624293,0.5939949720358239,2
GSE244832,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_HSC,-0.0105301043767512,0.4795699467767391,3
GSE244832,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_HSC,-0.1725474364928205,0.1345596611722237,3
GSE244832,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_MESOTHELIAL,1.0429750258602508,0.5702922385334394,3
GSE244832,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_MESOTHELIAL,0.8358840839337955,0.2616642098791175,3
GSE244832,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_SAMES,0.466191062847029,0.5428056336735401,3
GSE244832,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_SAMES,0.649427785188562,-0.0553327923123312,3
GSE244832,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_VSMC,-1.878872828756108,-0.6200897045260917,3
GSE244832,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_VSMC,-1.8686632589084569,-0.193761297342776,3
GSE244832,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_A,-0.0247128716992494,-0.668910582279253,3
GSE244832,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_A,0.5968181984473662,-0.3841579621700156,3
GSE244832,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_B,0.404949716124829,-0.3036675321783739,3
GSE244832,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_B,-0.0409193721684467,0.2370281807737827,3
GSE210077_Watson6,endothelial,singscore,RAM2019_ENDO_1,-1.8619564133787745,-0.7701292756136638,4
GSE210077_Watson6,endothelial,standardized_mean,RAM2019_ENDO_1,-1.644777798625414,-1.0013219977094658,4
GSE210077_Watson6,endothelial,singscore,RAM2019_ENDO_2,0.5614260887807917,0.6693385493539992,4
GSE210077_Watson6,endothelial,standardized_mean,RAM2019_ENDO_2,0.4545945870649845,1.215875297088996,4
GSE210077_Watson6,endothelial,singscore,RAM2019_ENDO_3,-0.2152996586561491,-0.5712953756532541,4
GSE210077_Watson6,endothelial,standardized_mean,RAM2019_ENDO_3,-0.6533276449933888,-0.5242723888863302,4
GSE210077_Watson6,endothelial,singscore,RAM2019_ENDO_4,-0.5826645220142107,0.0861684799202292,4
GSE210077_Watson6,endothelial,standardized_mean,RAM2019_ENDO_4,-0.6387831092804801,-0.0858234829227888,4
GSE210077_Watson6,endothelial,singscore,RAM2019_ENDO_5,0.2174623116395582,0.0436285695139887,4
GSE210077_Watson6,endothelial,standardized_mean,RAM2019_ENDO_5,0.4913960266846062,-0.0081762995015059,4
GSE210077_Watson6,endothelial,singscore,RAM2019_ENDO_6_SAENDO1,0.8520959080426207,1.0499949125040464,4
GSE210077_Watson6,endothelial,standardized_mean,RAM2019_ENDO_6_SAENDO1,0.8732574701797494,0.8673422828545416,4
GSE210077_Watson6,endothelial,singscore,RAM2019_ENDO_7_SAENDO2,1.0289362855861643,-0.6769411467004606,3
GSE210077_Watson6,endothelial,standardized_mean,RAM2019_ENDO_7_SAENDO2,1.1176404689699433,-0.6181645478979285,3
GSE210077_Watson6,macrophage_monocyte,singscore,RAM2019_MAC_SIG_A_SAM,0.6430189049446262,1.3168324153561008,2
GSE210077_Watson6,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_A_SAM,0.238617383224045,1.0887557378925703,2
GSE210077_Watson6,macrophage_monocyte,singscore,RAM2019_MAC_SIG_B_SAM,-0.0200286756168371,0.5755913274001291,2
GSE210077_Watson6,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_B_SAM,-0.2151557931857742,0.356492124766175,2
GSE210077_Watson6,macrophage_monocyte,singscore,RAM2019_MAC_SIG_C_KC,-1.4025007273796957,-1.1606036582444212,2
GSE210077_Watson6,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_C_KC,-1.442221361051913,-1.427850825239095,2
GSE210077_Watson6,macrophage_monocyte,singscore,RAM2019_MAC_SIG_D_TMO,1.3899892450580345,-0.725216665754953,2
GSE210077_Watson6,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_D_TMO,1.5203533099375472,-0.6291042220824132,2
GSE210077_Watson6,macrophage_monocyte,singscore,RAM2019_MAC_SIG_E_TMO,-0.8055917483781028,0.1732751018917355,2
GSE210077_Watson6,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_E_TMO,-0.5508629971727828,0.3327380210825928,2
GSE210077_Watson6,macrophage_monocyte,singscore,RAM2019_MAC_SIG_F_CDC1,0.1951130013719751,-0.1798785206485912,2
GSE210077_Watson6,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_F_CDC1,0.4492694582488777,0.2789691635801703,2
GSE210077_Watson6,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_HSC,1.1901213592108075,0.0793527922475528,3
GSE210077_Watson6,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_HSC,1.0265300980289958,-0.2651328503350483,3
GSE210077_Watson6,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_MESOTHELIAL,0.446065731168444,0.7692620034307084,3
GSE210077_Watson6,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_MESOTHELIAL,0.2382848438742623,0.4608639565656285,3
GSE210077_Watson6,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_SAMES,-0.0305937423246267,0.7084005687307586,3
GSE210077_Watson6,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_SAMES,-0.0345901345314713,0.1726731809276799,3
GSE210077_Watson6,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_VSMC,0.2662621694359793,-1.335134703923454,3
GSE210077_Watson6,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_VSMC,0.4257892620059757,-0.9585788043142536,3
GSE210077_Watson6,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_A,-1.819353888850472,-0.070696909895512,3
GSE210077_Watson6,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_A,-1.908694783066124,0.4510130316678145,3
GSE210077_Watson6,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_B,-0.0525016286401328,-0.1511837505900532,3
GSE210077_Watson6,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_B,0.252680713688364,0.1391614854881791,3
GSE181483_human,endothelial,singscore,RAM2019_ENDO_1,-0.1075556733912225,-1.208729460610552,4
GSE181483_human,endothelial,standardized_mean,RAM2019_ENDO_1,-0.7244267670917518,-1.2314097555928811,4
GSE181483_human,endothelial,singscore,RAM2019_ENDO_2,0.0336987051598727,0.8012703952592288,4
GSE181483_human,endothelial,standardized_mean,RAM2019_ENDO_2,1.4289357484089105,0.9722900067530148,4
GSE181483_human,endothelial,singscore,RAM2019_ENDO_3,-1.869294604306168,-0.1577966392407492,4
