lineage,score_method,n_programs,n_contexts,program_variance,context_variance,interaction_residual_variance,program_fraction,context_fraction,interaction_residual_fraction,label
endothelial,singscore,7,10,1.469354979682756,16.601744848721122,12.458337727843931,0.0481291205242677,0.5437946512487779,0.4080762282269543,"Endothelial
Rank score"
endothelial,standardized_mean,7,10,1.1696834387842063,3.757865072526229,2.797993776881152,0.1514047034047118,0.4864208792527209,0.3621744173425673,"Endothelial
z-mean"
macrophage_monocyte,singscore,6,9,1.6986173546533274,23.305702511032635,16.560924077463103,0.0408662910044895,0.5607016896835503,0.3984320193119601,"Macrophage
Rank score"
macrophage_monocyte,standardized_mean,6,9,0.549854156610619,3.5175020633705825,2.1837742299301666,0.0879607554211918,0.5626985537344618,0.3493406908443462,"Macrophage
z-mean"
mesenchymal_hsc_myofibroblast,singscore,6,13,0.0032209938635213,2.2131650203154547,1.0805904692815709,0.0009769538483758,0.671271096842186,0.3277519493094381,"Mesenchymal
Rank score"
mesenchymal_hsc_myofibroblast,standardized_mean,6,13,0.0677014659284641,0.7002882331994659,0.7405979029524656,0.0448773845384261,0.4642012384522739,0.4909213770092999,"Mesenchymal
z-mean"
