dataset_id,contrast,lineage,comparison_group,donors_before_cell_gate,donors_30,donors_20,minimum_cells,median_cells,maximum_cells,formal_30_cell_gate,formal_20_cell_gate,analysis_role
GSE290642_human,f4_vs_f0_reconstructed_label_sensitivity,endothelial,control,3,2,3,24,58.0,313,FAIL,PASS,reconstructed_label_sensitivity_only
GSE290642_human,f4_vs_f0_reconstructed_label_sensitivity,endothelial,case,3,3,3,593,684.0,1610,FAIL,PASS,reconstructed_label_sensitivity_only
GSE290642_human,f4_vs_f0_reconstructed_label_sensitivity,macrophage_monocyte,control,3,2,2,11,116.0,593,FAIL,FAIL,reconstructed_label_sensitivity_only
GSE290642_human,f4_vs_f0_reconstructed_label_sensitivity,macrophage_monocyte,case,3,3,3,375,790.0,824,FAIL,FAIL,reconstructed_label_sensitivity_only
GSE290642_human,f4_vs_f0_reconstructed_label_sensitivity,mesenchymal_hsc_myofibroblast,control,3,0,1,1,6.0,22,FAIL,FAIL,reconstructed_label_sensitivity_only
GSE290642_human,f4_vs_f0_reconstructed_label_sensitivity,mesenchymal_hsc_myofibroblast,case,3,3,3,57,87.0,126,FAIL,FAIL,reconstructed_label_sensitivity_only
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,control,3,2,3,24,58.0,313,FAIL,PASS,reconstructed_label_sensitivity_only
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,case,21,21,21,87,372.0,1610,FAIL,PASS,reconstructed_label_sensitivity_only
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,macrophage_monocyte,control,3,2,2,11,116.0,593,FAIL,FAIL,reconstructed_label_sensitivity_only
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,macrophage_monocyte,case,21,21,21,117,316.0,1400,FAIL,FAIL,reconstructed_label_sensitivity_only
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,mesenchymal_hsc_myofibroblast,control,3,0,1,1,6.0,22,FAIL,FAIL,reconstructed_label_sensitivity_only
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,mesenchymal_hsc_myofibroblast,case,21,11,14,3,31.0,126,FAIL,FAIL,reconstructed_label_sensitivity_only
