cluster,n_cells,n_donors,conditions,library_size,score_hepatocyte,log1p_cpm_HNF4A,log1p_cpm_ALB,log1p_cpm_APOA1,score_mesenchymal_hsc_myofibroblast,log1p_cpm_NGFR,log1p_cpm_COL1A1,log1p_cpm_COL1A2,log1p_cpm_DCN,log1p_cpm_PDGFRB,log1p_cpm_RGS5,log1p_cpm_ACTA2,log1p_cpm_MYH11,score_endothelial,log1p_cpm_PECAM1,log1p_cpm_VWF,log1p_cpm_EMCN,log1p_cpm_KDR,log1p_cpm_ENG,score_t_cell,log1p_cpm_CD69,log1p_cpm_CD3D,log1p_cpm_CD3E,log1p_cpm_TRBC1,score_b_cell,log1p_cpm_CD19,log1p_cpm_MS4A1,log1p_cpm_CD79A,log1p_cpm_CD74,score_macrophage_monocyte,log1p_cpm_CD163,log1p_cpm_LST1,log1p_cpm_TYROBP,log1p_cpm_FCER1G,log1p_cpm_C1QA,score_cholangiocyte,log1p_cpm_KRT19,log1p_cpm_KRT7,log1p_cpm_KRT8,log1p_cpm_KRT18,log1p_cpm_EPCAM,provisional_marker_label,top_minus_second_score
0,30243,18,NAFL;NASH;NORMAL,162007402,6.6182579043534355,5.901136266562262,8.052855936591177,5.900781509906868,1.1831197639807245,0.17508651495446945,0.9738321473118307,0.7413253624148761,1.1526482483699867,1.5217171933122724,1.8241126471878673,1.963353835712322,1.1128821625821708,1.431994539495108,1.1545956405830946,1.5040418600456364,1.2076376326263705,1.1006372965991378,2.1930602676213002,0.11754379515155969,0.190510398276958,0.07145581299301369,0.15414415276732568,0.054064816568941326,0.37820362591594386,0.030396109241207257,0.11640533103285979,0.030396109241207257,1.3356169541485012,0.66266819465157,1.6528860834303405,0.40955653535205605,0.27836857766212947,0.5753441556479693,0.3971856211653548,1.7221106857258768,0.2354040602570374,0.5291559881213784,3.214873527869205,3.390811876429371,1.2403079759523923,hepatocyte,4.896147218627559
1,26153,18,NAFL;NASH;NORMAL,141305338,6.54344253830817,5.923595366232118,7.936652490557619,5.7700797581347745,1.2368500104888172,0.22129430012609733,1.023663184927602,0.884780073167591,1.2276543280591057,1.4415053698262679,1.8372660930721052,2.1567524481652707,1.1018842865664973,1.4584987761085988,1.2024590723338908,1.3187513414720415,1.352254979787229,1.170045199655243,2.2489832872945894,0.12392717918396277,0.22129430012609733,0.03477272727698248,0.13237601144326747,0.10726567788950385,0.4540215698992331,0.014054517909022922,0.12615729236875828,0.04158449502536411,1.634289974293787,0.6970237205853976,1.668223494572576,0.47537114820992066,0.30816134416511937,0.5757456191132222,0.45761699686615026,1.7753515914916655,0.29243818968952484,0.6147665341893083,3.235904698100741,3.385061229749707,1.3485873057290452,hepatocyte,4.768090946816505
2,21114,18,NAFL;NASH;NORMAL,40928574,5.61640777038057,3.3698201125287484,7.244400711308757,6.235002487304204,1.4588047957900785,0.39787381015370143,0.92220684144021,1.5242335151813402,1.7850470030046552,1.3115820525835211,1.5400709500649699,2.63893260631318,1.5504915875790495,5.4554545590964,5.245801622364654,3.1254277244830404,6.148173593978496,6.1563908540150365,6.601479000640771,0.32721302181112144,0.7982458472950977,0.09324553439218046,0.21859569136321555,0.19876501419399215,0.6483932683969585,0.0707365468011388,0.1578834110809844,0.13679829373716684,2.2281548219685443,1.073085809800813,1.9298253052417356,1.0149270804379074,0.6179646326664004,0.8517754437869335,0.9509365868710872,1.5924201714738493,0.44593797895635556,0.9124438631626238,2.7923527927433396,2.3306347114048935,1.480731511102033,hepatocyte,0.16095321128416984
3,11565,18,NAFL;NASH;NORMAL,21431627,6.077253899518433,3.84531622615225,7.588677245794576,6.797768226608473,5.009202763760662,3.8911362607638478,5.217218542053463,5.861042827259951,6.390646271299869,5.503860737445489,2.9301694967784684,6.213171630399553,4.066376344084657,2.9729472345138417,2.3531491785491983,1.994123521516275,2.9226681793909655,2.163196832396667,5.431598460716105,0.6666054065339097,1.0199587975407716,0.28263442409660605,0.7290838074698358,0.634744597028425,1.1557773914017322,0.1310107532877938,0.7290838074698358,0.08921896278773543,3.6737960420615634,1.5733587812486414,2.366369211965667,0.8946422497461438,2.2553658490709076,1.053057072046862,1.2973595234136266,2.4949876431284865,1.3471014578810132,1.8287214611307714,4.57930091734239,3.397274638015332,1.3225397412729254,hepatocyte,1.0680511357577709
4,8110,18,NAFL;NASH;NORMAL,14094010,7.055571956875859,6.094121791777411,8.292239681885347,6.780354396964819,1.664406222163263,0.3036247888740733,1.887859958366812,1.6862196651225474,2.099999388244392,2.099999388244392,1.4828996425338725,2.108650409492577,1.645996536427438,2.058051936651772,1.724887260551879,1.6862196651225474,1.9603599599444796,1.8212382255402453,3.0975545720997077,0.38814714473185086,0.6159559016469828,0.24983105984642898,0.19297822531787878,0.49382339211611276,0.7273483914645624,0.0,0.7585762642024211,0.0,2.1508173016558287,1.1229523138877446,2.046460103147377,1.0941555658541389,0.40323922949640423,0.8229195239354781,1.247987147005325,2.2284231674275343,0.44955664663518835,1.3632911143892343,3.7579799470922834,3.8982972181778353,1.6729909108431305,hepatocyte,4.827148789448325
5,5743,18,NAFL;NASH;NORMAL,9729814,6.1176469331218195,3.5905075845526353,7.7597476902607925,7.002685524552032,1.8804726136160181,0.6549218059345212,1.689986246252867,2.1282240758597886,2.493197507323142,1.8794577108797221,1.4560210574889747,2.542905489071963,2.199067016117167,3.5226411003699334,5.438022375162745,2.286335006112251,2.493197507323142,2.199067016117167,5.196583597134363,0.6325161786308268,1.3283940159588212,0.1869390258826353,0.6000528494578142,0.4146788232240365,1.5610184705944514,0.1869390258826353,0.8484826749333978,0.1869390258826353,5.021713155679137,4.9379673459648314,7.222407312262784,5.134988852676145,4.149236245363174,3.9308362685874827,4.25236805093457,2.148577605355467,1.6314098526430534,1.213091625757645,3.3728276462973956,3.144143990922345,1.381414911156895,hepatocyte,1.179679587156988
6,5664,18,NAFL;NASH;NORMAL,34601247,6.186163846628927,5.555474534991883,7.193106800758975,5.8099102041359245,1.477926829897941,0.29773757855355487,1.4640836791904692,1.1799630683679578,1.5596361422792844,1.7372878286443634,1.7574293699827965,2.468850012386684,1.3584269597784178,1.3082055098323775,1.394900401076468,1.077166086814444,1.2148702466652157,0.8701350553886119,1.983955759217148,0.2169303193070815,0.31896923649655345,0.1599090585450628,0.253872096399746,0.13497088578696384,0.6727914311162513,0.08314749286285848,0.02849094345773874,0.02849094345773874,2.5510363446866693,0.775026530805039,2.1314975546547306,0.31896923649655345,0.2311960289867569,0.9174244931261588,0.2760453407609956,2.822715968004236,1.0057809359124705,2.324280135464316,3.7650557052460543,4.143007502955441,2.8754555604428957,hepatocyte,3.3634478786246906
7,5366,18,NAFL;NASH;NORMAL,25950623,6.963860847775563,5.876718272792341,8.255899009118377,6.7589652614159705,1.666247926055314,0.5268711821989623,1.5225128571991504,1.579694332162844,1.7541104428737804,2.0468636041332577,1.891011742987129,2.3676436169492567,1.6412756299381306,2.1840087179776733,2.3119604071370268,1.5954488146525856,2.2529927927304954,1.867474408457908,2.892167166910351,0.5387682378967722,1.0197844750558704,0.4060991500232062,0.29774067695505113,0.4314486495529609,0.7744588690232241,0.1433545086498265,0.5493690036350076,0.07424387212506788,2.3308680916829947,1.5297375430652118,2.9994596467187513,1.3282678877274292,0.8861550401539846,1.297161381554001,1.137643759171892,1.9325115101833856,0.48029766678520447,1.08696833938761,3.490158487532493,3.4925060425016525,1.1126270147099682,hepatocyte,4.77985212979789
8,3377,18,NAFL;NASH;NORMAL,7720539,5.517471032032572,3.0232608591958092,7.147142939642091,6.382009297259818,1.8481612141597408,0.41745859260013624,1.559452064041471,2.078732580192188,2.359421185367953,1.637984228822504,1.8002996950161658,2.6356560913918847,2.296285275845623,6.388989892832094,6.477245361361931,6.160984605517729,7.253708589074079,5.77724579871258,6.27576510949415,0.4414559797155474,0.4993337509757251,0.1217968676848895,0.4993337509757251,0.6453595492258499,1.0830153234568947,0.0,0.41745859260013624,0.32827725397708707,3.586325447250356,1.0555184191663105,1.8214777119680854,0.8857370831176601,0.6453595492258499,0.937776501205834,0.9872412503141245,1.8091516510680037,0.8308401820692265,0.7727536637267391,2.991252091813398,2.5684655609388667,1.8824467567917875,endothelial,0.8715188607995223
9,2639,18,NAFL;NASH;NORMAL,7479464,6.313527733842075,5.250102370410849,7.340588064775307,6.349892766340066,1.9824318391045936,0.5119232816361746,2.1065420686851866,2.039266604519908,2.2288700952281104,1.6636195063138564,2.2848448341535788,2.9678738040919272,2.056514518208008,2.428129634759047,2.5148254773946848,1.7828664678451729,2.803913727175769,1.8893965831411172,3.1496459182384915,0.3314838622983455,0.6605702380330187,0.0,0.4283985682411072,0.23696664291925582,1.040535565307019,0.0,0.5890062104174958,0.0,3.57313605081058,1.0610980756801989,2.122676795084599,0.4283985682411072,0.9571996507705871,0.7899538680157198,1.0072614962889819,4.082234879849315,3.5880350450706016,4.546716530770639,4.459380301154704,4.175033557353943,3.642008964896686,hepatocyte,2.23129285399276
