dataset_id,program_id,lineage,n_program_genes,n_detected,coverage,coverage_tier,missing_genes
GSE181483_human,RAM2019_ENDO_1,endothelial,80,80,1.0,primary,
GSE181483_human,RAM2019_ENDO_2,endothelial,45,44,0.9777777777777777,primary,ECSCR.1
GSE181483_human,RAM2019_ENDO_3,endothelial,39,39,1.0,primary,
GSE181483_human,RAM2019_ENDO_4,endothelial,88,88,1.0,primary,
GSE181483_human,RAM2019_ENDO_5,endothelial,50,50,1.0,primary,
GSE181483_human,RAM2019_ENDO_6_SAENDO1,endothelial,12,12,1.0,primary,
GSE181483_human,RAM2019_ENDO_7_SAENDO2,endothelial,56,56,1.0,primary,
GSE181483_human,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,66,66,1.0,primary,
GSE181483_human,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,679,679,1.0,primary,
GSE181483_human,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,332,332,1.0,primary,
GSE181483_human,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,330,330,1.0,primary,
GSE181483_human,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,269,269,1.0,primary,
GSE181483_human,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,130,130,1.0,primary,
GSE181483_human,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,5,5,1.0,primary,
GSE181483_human,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,444,444,1.0,primary,
GSE181483_human,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,140,140,1.0,primary,
GSE181483_human,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,22,22,1.0,primary,
GSE181483_human,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,47,40,0.851063829787234,primary,HLA+AC0-A;HLA+AC0-B;HLA+AC0-C;HLA+AC0-DPA1;HLA+AC0-DRB1;HLA+AC0-DRB5;SEP-04
GSE181483_human,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,59,59,1.0,primary,
