dataset_id,contrast,lineage,analysis_tier,cell_gate,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode
GSE202379,advanced_f3f4_vs_f0_non_end_stage,endothelial,primary,30,5,15,0.1358331972774298,0.13696073765771358,0.001127540380283787,0.10664817113308965,0.010572524294642553,0.010125797915995686,0.4806954062103135,-0.9320371982562188,0.9522887940882101,0.5164005371528597,-1.0020192549036093,1.0222708507356006,0.9856166150670794,exact_15504_allocations
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,primary,30,3,7,0.04558471192199997,0.04630976872946952,0.0007250568074695513,0.02251244995667658,0.03220692589499879,0.029090126614837612,0.6636850027729666,-1.271732478820177,1.329912732049852,0.6901038805188175,-1.3235134792020449,1.38169373243172,0.9666666666666667,exact_120_allocations
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,primary,30,4,4,0.21627626868047498,0.15685386436508517,-0.05942240431538981,0.11182792924255451,-0.53137355504905,-0.4620639609122174,0.7099970268936754,-1.8536581336238211,0.9295302117993862,0.7195776020216008,-1.872436060874555,0.94830813905012,0.5714285714285714,exact_70_allocations
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,sensitivity,20,3,12,0.04558471192199997,0.03744106929681099,-0.008143642625188977,0.021581763017830182,-0.37733908107789677,-0.3551426645439028,0.6544290550271111,-1.6378236123970407,0.9275382833092349,0.649243928484175,-1.6276607643728858,0.91737543528508,0.6021978021978022,exact_455_allocations
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,sensitivity,20,5,20,0.1358331972774298,0.12451561470598516,-0.011317582571444634,0.10021794834616274,-0.1129296973068395,-0.10920674025276786,0.4857796448271762,-1.0613348441140331,0.8429213636084975,0.5002591961242525,-1.0897147646563028,0.871301284150767,0.8198193111236589,exact_53130_allocations
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,sensitivity,20,3,17,0.04558471192199997,0.03669491242778982,-0.008889799494210149,0.020947679302130238,-0.42438111477609436,-0.40644951837710447,0.6612379098307954,-1.7024758216454634,0.8895767848912546,0.629877595468016,-1.6410096054944159,0.828110568740207,0.5289473684210526,exact_1140_allocations
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,sensitivity,20,5,35,0.1358331972774298,0.15002059450021857,0.014187397222788778,0.09951611530622147,0.14256381671584223,0.13973142300625596,0.47033835084763415,-0.7821317446551069,1.0615945906676187,0.47836004720629577,-0.7978542695180837,1.0773171155305956,0.7662233776622338,monte_carlo_10000
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,sensitivity,20,3,29,0.04558471192199997,0.04100233114722083,-0.004582380774779141,0.021394311041899792,-0.21418688200824765,-0.20878721271392206,0.6406930920238284,-1.4645456730806257,1.0469712476527815,0.6070771178007265,-1.398658363603346,0.9810839381755019,0.7358870967741935,exact_4960_allocations
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,sensitivity,20,3,4,0.04993264324024433,0.044257686986368255,-0.005674956253876075,0.022967756648621187,-0.2470836111987784,-0.20807040943055022,0.6805070425184079,-1.5418642127666295,1.1257233939055293,0.7665915880450248,-1.7105899219987988,1.2944491031376986,0.8,exact_35_allocations
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,sensitivity,20,4,5,0.21627626868047498,0.08718024585079996,-0.12909602282967503,0.08839216972747647,-1.4604916162562063,-1.2982147700055167,0.7287383810320529,-2.7265419968283404,0.1301124568173071,0.7552370294465023,-2.778479347720661,0.18204980770962775,0.06349206349206349,exact_126_allocations
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,sensitivity,20,3,5,0.06225308264487414,0.03655635592422704,-0.0256967267206471,0.019595994935677114,-1.3113254420097238,-1.1402829930519336,0.6340304541134351,-2.382982683114266,0.10241669701039902,0.8010537489375831,-2.7103483409695963,0.42978235486572913,0.125,exact_56_allocations
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,sensitivity,20,3,5,0.04993264324024433,0.034904135942138995,-0.015028507298105336,0.019109132852765005,-0.7864567907868608,-0.6838754702494442,0.6536777185963735,-1.9650837986983363,0.5973328581994478,0.7565098401435866,-2.1666347569308737,0.7988838164319855,0.35714285714285715,exact_56_allocations
