dataset_id,lineage,program_id,measured_module_size,random_modules,exact_bin_match_fraction,expanded_bin_match_fraction,maximum_bin_distance,within_module_replacement
GSE202379,endothelial,RAM2019_ENDO_1,77,1000,1.0,0.0,0,False
GSE202379,endothelial,RAM2019_ENDO_2,43,1000,1.0,0.0,0,False
GSE202379,endothelial,RAM2019_ENDO_3,37,1000,1.0,0.0,0,False
GSE202379,endothelial,RAM2019_ENDO_4,85,1000,1.0,0.0,0,False
GSE202379,endothelial,RAM2019_ENDO_5,48,1000,1.0,0.0,0,False
GSE202379,endothelial,RAM2019_ENDO_6_SAENDO1,12,1000,1.0,0.0,0,False
GSE202379,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,62,1000,1.0,0.0,0,False
GSE202379,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,574,1000,1.0,0.0,0,False
GSE202379,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,313,1000,1.0,0.0,0,False
GSE202379,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,261,1000,1.0,0.0,0,False
GSE202379,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,252,1000,1.0,0.0,0,False
GSE202379,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,122,1000,1.0,0.0,0,False
GSE202379,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,4,1000,1.0,0.0,0,False
GSE202379,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,353,1000,1.0,0.0,0,False
GSE202379,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,123,1000,1.0,0.0,0,False
GSE202379,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,22,1000,1.0,0.0,0,False
GSE202379,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,39,1000,1.0,0.0,0,False
GSE202379,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,56,1000,1.0,0.0,0,False
