dataset_id,lineage,program_id,measured_module_size,random_modules,exact_bin_match_fraction,expanded_bin_match_fraction,maximum_bin_distance,within_module_replacement
GSE181483_human,endothelial,RAM2019_ENDO_1,80,1000,1.0,0.0,0,False
GSE181483_human,endothelial,RAM2019_ENDO_2,44,1000,1.0,0.0,0,False
GSE181483_human,endothelial,RAM2019_ENDO_3,39,1000,1.0,0.0,0,False
GSE181483_human,endothelial,RAM2019_ENDO_4,88,1000,1.0,0.0,0,False
GSE181483_human,endothelial,RAM2019_ENDO_5,50,1000,1.0,0.0,0,False
GSE181483_human,endothelial,RAM2019_ENDO_6_SAENDO1,12,1000,1.0,0.0,0,False
GSE181483_human,endothelial,RAM2019_ENDO_7_SAENDO2,56,1000,1.0,0.0,0,False
GSE181483_human,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,66,1000,1.0,0.0,0,False
GSE181483_human,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,679,1000,0.9970544918998527,0.0029455081001472753,1,False
GSE181483_human,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,332,1000,1.0,0.0,0,False
GSE181483_human,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,330,1000,1.0,0.0,0,False
GSE181483_human,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,269,1000,1.0,0.0,0,False
GSE181483_human,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,130,1000,1.0,0.0,0,False
GSE181483_human,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,5,1000,1.0,0.0,0,False
GSE181483_human,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,444,1000,1.0,0.0,0,False
GSE181483_human,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,140,1000,1.0,0.0,0,False
GSE181483_human,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,22,1000,1.0,0.0,0,False
GSE181483_human,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,40,1000,1.0,0.0,0,False
GSE181483_human,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,59,1000,1.0,0.0,0,False
