program_id,paper_id,program_name,cell_lineage,gene_symbol,direction,discovery_dataset,discovery_assay,disease_etiology,source_table,source_page,verified,data_lineage_class,notes
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,CLEC5A,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,TLR7,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,DEFB1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,FABP4,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,NEK6,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,ASCL2,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,LMO2,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,B3GAT3,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,CST6,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,SORL1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
