analysis_set,lineage,program_id,score_method,fibrosis_stage_numeric,n_donors,median_score,q25_score,q75_score
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,4,2,0.3076784397935963,0.30476186660683946,0.31059501298035314
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,0,3,-0.2700705631464883,-0.43071420830405716,-0.1151933202891858
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,1,7,-0.0269774681250096,-0.12044615170911699,-0.0008269454149093
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,2,7,0.1643523257709707,0.06834709362238035,0.31289501960856037
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,3,5,-0.0161676421961178,-0.0604707973203514,0.1398584798535075
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,4,2,0.1009739564583145,0.09133276178136529,0.1106151511352637
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,singscore,0,5,0.8016165040860359,0.7748231883575052,0.8207404846596635
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,singscore,1,8,0.8268410069725015,0.8084025099339404,0.8358526736252841
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,singscore,2,11,0.8119665453212599,0.8020663428937964,0.8315378655981607
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,singscore,3,11,0.8146247594611931,0.7750697666669444,0.8228511866581141
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,singscore,4,9,0.7981723215847656,0.7877656339811567,0.8323155036112058
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,standardized_mean,0,5,-0.0873799264277318,-0.1988730584613119,0.1673691556798511
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,standardized_mean,1,8,0.33654841791440676,-0.010398306171402125,0.4428521095721806
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,standardized_mean,2,11,0.2098175339891066,0.07150828751545366,0.3162518233900493
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,standardized_mean,3,11,0.121798307385615,-0.07756041585470391,0.3389174711453504
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,standardized_mean,4,9,-0.3935805150197881,-0.6566180493770071,0.1459419517575129
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,singscore,0,5,0.2473197029955254,0.2221386944737082,0.2719762003036801
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,singscore,1,8,0.3274119692862922,0.2899295337065509,0.3355631268616795
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,singscore,2,11,0.3360723646664212,0.27366447077265565,0.3464810065847017
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,singscore,3,11,0.3006425262367362,0.26322751716954673,0.31954579117003246
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,singscore,4,9,0.4369722292173605,0.3616936943917532,0.4723357587010002
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,standardized_mean,0,5,-0.2967404574472027,-0.3245293032703626,-0.2880278224644185
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,standardized_mean,1,8,0.04563096508690315,-0.0410281765796251,0.12915558867868407
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,standardized_mean,2,11,0.1714790459365389,-0.18645661755402293,0.3036730673075625
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,standardized_mean,3,11,-0.0501025827097847,-0.3915131243457269,0.10170507952999865
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,standardized_mean,4,9,0.3443329597714294,0.2566891041894082,0.4768614572543119
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,singscore,0,5,0.5888697473899267,0.5806975777827796,0.6074380594559965
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,singscore,1,8,0.6093910694807556,0.577124417819485,0.635924649825995
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,singscore,2,11,0.6538964973942551,0.590252696642831,0.6641865921013904
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,singscore,3,11,0.5673745173745175,0.5245987499350727,0.626871201759094
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,singscore,4,9,0.6380326194227539,0.5961208165244041,0.6608385130806655
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,standardized_mean,0,5,-0.0353015006884338,-0.2081313981776371,0.0553425812622247
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,standardized_mean,1,8,0.16680339766711666,-0.07553601081116004,0.23037650971468798
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,standardized_mean,2,11,0.2527494870359145,-0.047945179294269155,0.30745627952991517
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,standardized_mean,3,11,-0.0159715310360438,-0.35728846065317516,0.3289565378051541
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,standardized_mean,4,9,-0.0560659968109778,-0.1529249229205544,-0.0115724096087525
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,singscore,0,5,0.5783723703776391,0.5452257304821069,0.598385428853949
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,singscore,1,8,0.6328994346359101,0.6073749254610096,0.6547940836799239
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,singscore,2,11,0.6367675364769287,0.5954021708773334,0.6722603618632105
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,singscore,3,11,0.5921547240736409,0.5363002996656124,0.6718891765611672
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,singscore,4,9,0.6343400185687005,0.5794110098806622,0.7255923490915679
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,standardized_mean,0,5,-0.2830820662994328,-0.4150301241076562,-0.1526606981161721
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,standardized_mean,1,8,0.09502336174184725,-0.008423250329421225,0.22673543352743292
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,standardized_mean,2,11,0.1839073341609327,-0.0749854994863741,0.39719772917660073
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,standardized_mean,3,11,-0.1337469343896496,-0.4078352325713309,0.267731431599585
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,standardized_mean,4,9,-0.0498056010713999,-0.2071175469991345,0.6441789249375467
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,singscore,0,5,0.5102080596409155,0.4531018028987363,0.5160450511070525
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,singscore,1,8,0.5213900637636579,0.49716060805109646,0.5473806634304208
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,singscore,2,11,0.5323985068409753,0.4919320815576703,0.576210655046087
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,singscore,3,11,0.4503288314268321,0.41569973138090505,0.5424857412925759
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,singscore,4,9,0.5338250451258719,0.5219948572527155,0.6021159761607229
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,standardized_mean,0,5,-0.2297866641132945,-0.3900452871191956,0.11890517324534
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,standardized_mean,1,8,0.06954285335030874,-0.14174552616337938,0.14633387818670962
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,standardized_mean,2,11,0.2095685337565188,-0.10953233466492579,0.3473987394933113
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,standardized_mean,3,11,-0.2689195935556873,-0.32111698756098384,0.11929108948236955
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,standardized_mean,4,9,0.155806895128084,-0.2001170789886877,0.6955361800426804
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,0,5,0.4718941697338241,0.3375286712540675,0.4821784818904358
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,1,8,0.4496946178055157,0.4318530964954393,0.46984650877473727
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,2,11,0.4930122152877794,0.4327172347575612,0.5325145356590387
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,3,11,0.4587480663572838,0.4098962500666773,0.4861631194324425
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,4,9,0.6318157571878167,0.5279271350082682,0.7177655091481305
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,0,5,-0.2910018444930984,-0.6354446000229805,-0.1023150212619063
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,1,8,-0.26309382382278307,-0.5022172149751308,0.0095533693352064
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,2,11,-0.0002818405040499,-0.0764071033876354,0.06034021709630305
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,3,11,-0.1912707233492913,-0.3857810254808415,0.16495579509310954
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,4,9,0.7014433866891908,0.2925341990381933,1.2762300838678258
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,0,2,0.24718498105052,0.2352765383203471,0.2590934237806929
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,1,6,0.2857092999808696,0.20652529096370892,0.3474409153658827
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,2,7,0.3273586027537498,0.26178900671633687,0.35166512416692086
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,3,4,0.27382567512370154,0.18227732421965887,0.3591380183962483
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,4,6,0.33529877099824734,0.2994894239668269,0.38680425936745444
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,0,2,-0.33023217994889115,-0.3491362385879775,-0.3113281213098048
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,1,6,-0.0279067425266376,-0.17133726623721993,0.10968620332227332
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,2,7,0.1522239914085119,0.0496491218173048,0.31439972897824353
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,3,4,0.014453366918778743,-0.28922333705845915,0.32197356421103945
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,4,6,0.10396138109909545,-0.007074053315523375,0.20360432873163237
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,0,2,0.5622746357293491,0.5495304718214956,0.5750187996372026
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,1,6,0.521776123404657,0.4857743213421818,0.5551088141852036
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,2,7,0.5640243192697361,0.5578126886138473,0.5957555347642254
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,3,4,0.5124616725306469,0.4678605269053979,0.5560514646739998
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,4,6,0.6064134698293361,0.5874236502502095,0.612610266884442
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,0,2,0.0261578700298971,0.006620959482213851,0.04569478057758035
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,1,6,-0.0608389941629055,-0.14569666349887317,0.10231382327841634
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,2,7,0.1620023020996541,0.124747692129382,0.36037134053513387
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,3,4,-0.11529475891853755,-0.2542936131200186,0.015418112398217276
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,4,6,0.07499524496000784,0.05579070356262157,0.23251206312876463
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,0,2,0.7800737537623361,0.7781515707236571,0.7819959368010151
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,1,6,0.7172822862943593,0.6964374838934024,0.7382447133190826
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,2,7,0.7115587139170916,0.6972851194035767,0.7308500814415653
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,3,4,0.70966138769489,0.6775468196077591,0.7350081131823003
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,4,6,0.8091960825450737,0.7998074590479431,0.8202084524120248
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,0,2,0.44790723739779364,0.4261343045414988,0.4696801702540885
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,1,6,0.02937093030432875,-0.12926888756556199,0.21132222055701097
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,2,7,0.0111955085962702,-0.1850654437299947,0.06908253681244156
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,3,4,-0.11271343146555834,-0.1901656180556129,0.018567281907058017
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,4,6,0.45858117165283596,0.4412770044119244,0.5521520510080626
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,0,2,0.24436504969866335,0.2327165005594591,0.25601359883786756
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,1,6,0.23319644754557375,0.21979850693872754,0.24378711083224686
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,2,7,0.2463852708222393,0.21946707744763988,0.27275451189104116
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,3,4,0.21277192360502334,0.20381365485794975,0.22809051742679443
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,4,6,0.23168729224238044,0.22907028171723054,0.24023721513442103
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,0,2,-0.06749252620395615,-0.11849958343720318,-0.016485468970709127
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,1,6,0.0870280043556674,0.022310105918786172,0.1247789341627318
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,2,7,0.1811787253602828,-0.0315353579700267,0.27081496218733747
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,3,4,0.06378052664723095,0.014902410355293702,0.11295617561524127
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,4,6,-0.1191337900078359,-0.21973622856200387,0.030472431072090852
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,0,2,0.5635175330143883,0.5523997025569352,0.5746353634718415
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,1,6,0.5345343684966326,0.5267593488505438,0.5404628157772812
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,2,7,0.5444576271620296,0.4933468872148117,0.5859453032409008
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,3,4,0.5056294043715427,0.49458327893862486,0.5087581240096963
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,4,6,0.5719508246237807,0.5583783529538247,0.5874789140512411
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,0,2,0.080855148003349,0.041992840634048005,0.11971745537265001
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,1,6,0.0487379181386986,-0.005332422179462976,0.08520545841409315
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,2,7,0.0646608585520872,-0.1428453775298221,0.378858504307679
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,3,4,-0.13603172586507717,-0.23093211548257347,-0.06397063225422965
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,4,6,0.05380953586097279,-0.04915919141950663,0.24070525164367185
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,0,2,0.4026309277156329,0.39167013297459247,0.41359172245667336
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,1,6,0.41244040363620094,0.4006401261560574,0.43822137597506367
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,2,7,0.4111726563590077,0.3846425007963733,0.4541278462117643
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,3,4,0.4006485506006366,0.370807456686508,0.4360722211837924
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,4,6,0.4251601302629744,0.42093448151492585,0.46640667163357863
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,0,2,-0.11652725638576636,-0.12095075205746748,-0.11210376071406522
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,1,6,0.06569061427579576,0.01052935506069455,0.12574428884702388
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,2,7,0.1545412859625166,-0.0339890784054315,0.229468754111017
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,3,4,0.023815439562664194,-0.10717148222202263,0.1993617344870782
including_end_stage_sensitivity,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,4,6,0.04071865891717504,-0.1743131638325415,0.20245140898838318
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,0,3,0.217067161552491,0.20291652001407862,0.2239345022877804
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,1,7,0.247760215019358,0.17685902153393268,0.28889626595846796
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,2,7,0.151225482353694,0.1181726554250791,0.3036428502863726
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,3,5,0.212419607717659,0.1185326208683965,0.2564073848910504
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,4,7,0.291675999104086,0.21180366684798255,0.32234105525869516
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,0,3,0.0898028610595401,0.0524443529710263,0.1152351021118858
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,1,7,0.2390252536073538,0.010472121884592511,0.4090096462894888
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,2,7,-0.2532651708016189,-0.2700868622189354,0.42276986524928317
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,3,5,-0.0439295224883657,-0.2270290758760707,0.2369001929575945
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,4,7,0.3281676591888543,0.0708319792898216,0.46208797583319666
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,0,3,0.227322627176254,0.20400766808517495,0.27240219002243254
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,1,7,0.3005956855150078,0.2923640347628661,0.31235897110598915
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,2,7,0.3470046874576042,0.30099906390180986,0.3689445575405221
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,3,5,0.3233772831372525,0.2942644644220353,0.3476072112927248
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,4,7,0.346694488057323,0.32524384202857215,0.3679823344008202
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,0,3,-0.4750283959100216,-0.5197437867592829,-0.28976435179780746
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,1,7,0.0113961859690182,-0.05585542879807995,0.02613611064382285
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,2,7,0.1928372705853048,0.0833424478998947,0.37600202621316775
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,3,5,0.1536881973693566,0.0034592335875235,0.200703763472539
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,4,7,0.1803589842432937,-0.04274889757622345,0.2829160132753237
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,0,3,0.4825955573103619,0.45253822840791513,0.5383221542756957
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,1,7,0.5563454796236149,0.5323733079304197,0.5650351666361142
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,2,7,0.6038464210041985,0.5201484169399412,0.6285971575267882
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,3,5,0.5677091575309663,0.5051215804121811,0.6057957708118227
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,4,7,0.6256232566179969,0.5664053258378026,0.6539078914589492
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,0,3,-0.3292563414217984,-0.37495864575698823,-0.10361199654798685
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,1,7,0.0829248128736594,-0.108903208390986,0.17706622239625114
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,2,7,0.129350589504062,0.01099528165811715,0.34693004999290794
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,3,5,0.0803093870315041,-0.1845174900212166,0.085038328018819
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,4,7,0.1893057241317933,0.0476469898903934,0.4003362746359941
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,0,3,0.4334691561040207,0.3295843823216962,0.45895411615757375
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,1,7,0.3716402054804486,0.29112010128498034,0.3908014028551887
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,2,7,0.4462592953708688,0.3379374827189777,0.46849687850168076
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,3,5,0.3878632652764235,0.3068294599589622,0.4421074843197461
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,4,7,0.4441331839282856,0.3714597552279638,0.5290648602238165
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,0,3,0.0671671610590194,-0.24723041596602183,0.341299039789793
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,1,7,-0.0368234279411782,-0.13050678783613553,0.0547794221315505
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,2,7,0.3176985586050149,0.06529820682975604,0.452989523503072
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,3,5,-0.0033323135696731,-0.1517201894830745,0.3228092018160984
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,4,7,0.1028400944380777,0.0695657601237484,0.43466441231938135
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,0,3,0.6245410685156987,0.6136141870814176,0.6831229024675114
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,1,7,0.6772867724241931,0.6547024152732398,0.6871713557760069
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,2,7,0.6642699560247127,0.6561139119278654,0.701448129037981
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,3,5,0.6428827221639062,0.6268950687555339,0.669228469439886
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,4,7,0.6989688723303946,0.6475812770738774,0.7306817565802767
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,0,3,0.0374295414397187,-0.04354295168808216,0.2710987306640047
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,1,7,0.2321412294920618,0.05883445557775075,0.34232216314888514
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,2,7,-0.0039369199937154,-0.07733174175886712,0.14265327362349076
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,3,5,-0.1017108373973513,-0.2963903125120339,0.070211141352983
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,4,7,0.1301247642868546,-0.1675061091959732,0.41365670156718637
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,0,3,0.3210096288122632,0.2573469485868126,0.34753264547381724
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,1,7,0.3102355922658157,0.2846414606674694,0.34324105912356284
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,2,7,0.3657535014903368,0.32447706575338703,0.39516075492085867
including_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,3,5,0.3235633473286112,0.2966777621596377,0.3789335964506632
