dataset_id,contrast,program_id,lineage,score_method,analysis_tier,cell_gate,coverage_tier,program_coverage,expected_direction,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_1,endothelial,singscore,primary,30,primary,0.9625,positive_case_higher,5,15,0.7987728563931258,0.798159409544913,-0.0006134468482127398,0.042371674127650916,-0.014477758097653651,-0.013866021840006314,0.5573527920676317,-1.1062774942925644,1.0785454506125516,0.5164029506155932,-1.026015805046569,0.9982837613665564,0.9771026831785345,exact_15504_allocations
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_1,endothelial,standardized_mean,primary,30,primary,0.9625,positive_case_higher,5,15,-0.0437810173438297,-0.006436502256112993,0.037344515087716704,0.49798347805946713,0.07499147408110832,0.0718228202466953,0.48667879310722983,-0.8820676142434751,1.0257132547368657,0.516536502891782,-0.9405887254211973,1.0842343659145879,0.8888673890608875,exact_15504_allocations
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_2,endothelial,singscore,primary,30,primary,0.9555555555555556,positive_case_higher,5,15,0.24515013388446755,0.29874092473909797,0.05359079085463042,0.06245055080965784,0.858131596276373,0.8218725147435686,0.5563584513947725,-0.26859004999018543,1.9123350794773226,0.5342563479186881,-0.22526992717706018,1.8690149566641974,0.11422858617131063,exact_15504_allocations
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_2,endothelial,standardized_mean,primary,30,primary,0.9555555555555556,positive_case_higher,5,15,-0.36350921187157625,-0.10114530772316187,0.2623639041484144,0.3199618140682706,0.819985050129868,0.7853377944905778,0.49242028970238017,-0.17980597332608728,1.750481562307243,0.5327276626386372,-0.25880842428115114,1.8294840132623067,0.12977296181630546,exact_15504_allocations
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_3,endothelial,singscore,primary,30,primary,0.9487179487179488,positive_case_higher,5,15,0.5834955070381079,0.583052847851054,-0.0004426591870538843,0.06148679941410915,-0.007199255633271894,-0.006895061733274491,0.37973393884423357,-0.7511735818679722,0.7373834584014233,0.5163990581656224,-1.0190372157378944,1.0052470922713452,0.9872291021671826,exact_15504_allocations
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_3,endothelial,standardized_mean,primary,30,primary,0.9487179487179488,positive_case_higher,5,15,-0.06899131409995993,-0.037209304591186924,0.031782009508773,0.375993140375974,0.08452816313880783,0.08095655061181596,0.34882979832920546,-0.6027498541134267,0.7646629553370586,0.5165740229597885,-0.9315285343893696,1.0934416356130015,0.8713880288957688,exact_15504_allocations
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_4,endothelial,singscore,primary,30,primary,0.9659090909090908,positive_case_higher,5,15,0.5743822887810328,0.6086950833201239,0.034312794539091085,0.07388590873150153,0.4644024162141989,0.44477977890937365,0.3831968391989079,-0.30628602592048587,1.1958455837392332,0.5216914012167717,-0.5777353674754988,1.4672949252942462,0.3795794633642931,exact_15504_allocations
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_4,endothelial,standardized_mean,primary,30,primary,0.9659090909090908,positive_case_higher,5,15,-0.23206228795004064,-0.01271060333315673,0.2193516846168839,0.41138041057531927,0.5332088718325663,0.5106789195016128,0.38608814221191023,-0.24605383923373125,1.2674116782369569,0.5233649926417226,-0.5151164660761636,1.5364743050793892,0.31540247678018574,exact_15504_allocations
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_5,endothelial,singscore,primary,30,primary,0.96,positive_case_higher,5,15,0.4749740993516827,0.47910596480360007,0.004131865451917349,0.08167124892441478,0.05059143219104331,0.04845376604212599,0.49461341522671426,-0.920988527802234,1.017896059886486,0.5164609205244776,-0.9638096381858499,1.060717170270102,0.9220201238390093,exact_15504_allocations
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_ENDO_5,endothelial,standardized_mean,primary,30,primary,0.96,positive_case_higher,5,15,-0.21359850527002627,-0.058834022558799284,0.154764482711227,0.38356790688566766,0.40348652724316314,0.3864378007399309,0.5466764105696249,-0.6850479639765339,1.4579235654563958,0.5203987299775452,-0.6335437100160577,1.4064193114959196,0.4370485036119711,exact_15504_allocations
