dataset_id,analysis_set,model,lineage,program_id,score_method,histology_axis,n_donors,standardized_beta,hc3_se,hc3_ci95_low,hc3_ci95_high,hc3_p_two_sided,model_r_squared,incremental_r_squared,vif,fdr_within_set_model_lineage_method_axis
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,endothelial,RAM2019_ENDO_1,singscore,fibrosis,37,0.055207595782694935,0.20677884373938005,-0.3500714907113256,0.4604866822767154,0.7894779318402847,0.08435562827415544,0.0027283897404297708,1.1158256855975226,0.8015704543889562
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,endothelial,RAM2019_ENDO_1,singscore,steatosis,37,0.11030890170616063,0.15476897369042597,-0.19303271265130145,0.41365051606362274,0.47601120483862436,0.09367130008818358,0.012044061554457919,1.0066072537427855,0.5712134458063491
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,endothelial,RAM2019_ENDO_1,singscore,ballooning,37,0.11109225346179472,0.19174089423098345,-0.2647129935944367,0.48689750051802605,0.5623278206459141,0.0917360418223655,0.010108803288639834,1.2180417726237092,0.6175890211228645
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,endothelial,RAM2019_ENDO_1,singscore,inflammation,37,-0.042973796154077475,0.187581740983294,-0.41062725263865474,0.3246796603304998,0.8187960855471684,0.0833558888946122,0.0017286503608865411,1.0682957214486233,0.8187960855471684
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,endothelial,RAM2019_ENDO_1,singscore,fibrosis,37,0.043654711798885554,0.26928294510942546,-0.48413016226646466,0.5714395858642358,0.871215565671115,0.11172448762607101,0.0012126838044872468,1.570640008002039,0.871215565671115
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,endothelial,RAM2019_ENDO_1,singscore,steatosis,37,0.12715268200481075,0.22950463220684103,-0.32266813140570905,0.5769734954153305,0.5795576269579878,0.11172448762607101,0.010973072287583596,1.4692848130231047,0.5795576269579878
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,endothelial,RAM2019_ENDO_1,singscore,ballooning,37,0.08900269332140326,0.32865416187531427,-0.5551476273234097,0.7331530139662161,0.7865374965420726,0.11172448762607101,0.0036491425407658706,2.1702455077693954,0.8971328725910275
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,endothelial,RAM2019_ENDO_1,singscore,inflammation,37,-0.14811161216505034,0.22320105110964766,-0.5855776336514437,0.28935440932134293,0.5069595667790678,0.11172448762607101,0.014930701999331775,1.4674931377034766,0.5069595667790678
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,endothelial,RAM2019_ENDO_1,standardized_mean,fibrosis,37,-0.016546722342617837,0.22567991470537496,-0.4588712271992241,0.4257777825139884,0.9415519316980545,0.05786908142682157,0.0002450940099991694,1.1158256855975226,0.9699206215549264
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,endothelial,RAM2019_ENDO_1,standardized_mean,steatosis,37,0.13192011291153025,0.15294103610809467,-0.16783880961857525,0.43167903544163577,0.38838197417759146,0.07484956821611233,0.01722558079928993,1.0066072537427855,0.4203901749246757
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,endothelial,RAM2019_ENDO_1,standardized_mean,ballooning,37,0.10593545217544446,0.21131994986576164,-0.30824403877625817,0.5201149431271471,0.616157470220903,0.06681608957165686,0.009192102154834458,1.2180417726237092,0.616157470220903
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,endothelial,RAM2019_ENDO_1,standardized_mean,inflammation,37,0.05016079601815261,0.1882648019448605,-0.3188314353503403,0.4191530273866455,0.7899023170485048,0.05997919158903209,0.0023552041722096906,1.0682957214486233,0.7899023170485048
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,endothelial,RAM2019_ENDO_1,standardized_mean,fibrosis,37,-0.07256142672738754,0.2953450042049345,-0.6514269979828899,0.5063041445281149,0.8059271609839975,0.07998269144093972,0.003350402264040153,1.570640008002039,0.9168764077109396
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,endothelial,RAM2019_ENDO_1,standardized_mean,steatosis,37,0.1047375105912312,0.2522939058219979,-0.38974945833882496,0.5992244795212873,0.6780387847926586,0.07998269144093972,0.007445291134827392,1.4692848130231047,0.6780387847926587
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,endothelial,RAM2019_ENDO_1,standardized_mean,ballooning,37,0.09310268464287397,0.3664200368664238,-0.6250673908291555,0.8112727601149035,0.7994281002552416,0.07998269144093972,0.003993088521513921,2.1702455077693954,0.9578427250416172
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,endothelial,RAM2019_ENDO_1,standardized_mean,inflammation,37,-0.01002863719722725,0.2272726320105553,-0.45547481060954065,0.43541753621508617,0.9648039502956016,0.07998269144093972,6.845195397708892e-05,1.4674931377034766,0.9648039502956016
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,endothelial,RAM2019_ENDO_2,singscore,fibrosis,37,0.17756360946436667,0.22709298726477853,-0.2675304667162124,0.6226576856449457,0.4342743732175167,0.06689121094562567,0.028223876811670934,1.1158256855975226,0.8015704543889562
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,endothelial,RAM2019_ENDO_2,singscore,steatosis,37,0.3571874734317666,0.14198943683906542,0.0788932910420736,0.6354816558214595,0.011883270103546208,0.16495015802971102,0.1262828238957563,1.0066072537427855,0.07129962062127725
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,endothelial,RAM2019_ENDO_2,singscore,ballooning,37,0.26200664256927597,0.1767785836161754,-0.0844730145564303,0.6084862996949822,0.13830901783291302,0.0948958728119772,0.056228538678022466,1.2180417726237092,0.41492705349873904
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,endothelial,RAM2019_ENDO_2,singscore,inflammation,37,0.04484827166771359,0.1732649107181487,-0.29474471312440587,0.38444125645983307,0.7957569918130534,0.04055007758073925,0.0018827434467845183,1.0682957214486233,0.8187960855471684
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,endothelial,RAM2019_ENDO_2,singscore,fibrosis,37,0.1576679937015978,0.26979761578811934,-0.3711256163578912,0.6864616037610868,0.5589555472317711,0.20800678688628982,0.015818758992279802,1.570640008002039,0.871215565671115
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,endothelial,RAM2019_ENDO_2,singscore,steatosis,37,0.3923581361551001,0.1729385869952939,0.05340473410707708,0.7313115382031232,0.02328222540911848,0.20800678688628982,0.10448224980756016,1.4692848130231047,0.13024659650537238
