dataset_id,contrast,lineage,score_method,program_id,n_control,n_case,valid_bootstraps,positive_effect_probability,effect_median,effect_ci95_low,effect_ci95_high,rank_median,rank_ci95_low,rank_ci95_high,top_five_probability
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_VSMC,3,7,10000,0.4524,-0.07417966917510116,-2.744414446519306,2.214426759043212,5.0,3.0,6.0,0.6559
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_A,3,7,10000,0.4631,-0.05492513317510364,-1.8014373105715566,1.7135038229001838,5.0,3.0,6.0,0.7425
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_B,3,7,10000,0.7503,0.4822832482811118,-1.4632634644256235,2.9449199918271867,3.0,2.0,5.0,0.9796
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_HSC,3,7,10000,0.3624,-0.1460295846273323,-1.181583655399079,0.7904708380606709,5.0,3.0,6.0,0.6909
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_MESOTHELIAL,3,7,10000,1.0,2.947551125323365,1.4367899599225624,12.409197015300293,1.0,1.0,1.0,1.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_SAMES,3,7,10000,0.9577,1.1118344122327382,-0.17163393456469023,3.68201793924855,3.0,2.0,4.0,1.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_VSMC,3,7,10000,0.5357,0.06520882536958558,-2.310785572244766,2.7537334765781063,4.0,3.0,6.0,0.7766
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_A,3,7,10000,0.2386,-0.4220910723257604,-2.2166237665147146,0.6938802545430259,5.0,4.0,6.0,0.5325
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_B,3,7,10000,0.9872,1.6262311928132074,0.2516672864189372,4.694159564854777,2.0,2.0,3.0,1.0
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_1,5,9,10000,0.0922,-0.47078833844950535,-1.1548008940066876,0.4741220248676316,7.0,5.0,7.0,0.0256
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_2,5,9,10000,0.9999,1.375751526992982,0.6247753380928041,2.6739455984658393,2.0,1.0,5.0,0.9892
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_3,5,9,10000,0.9687,0.8729747955478389,-0.04592711611806906,2.250232183148693,4.0,1.0,6.0,0.893
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_4,5,9,10000,0.8941,0.5368365490548744,-0.3427402787221873,1.6301795291611996,6.0,2.0,6.0,0.452
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_5,5,9,10000,0.9856,1.0425741079834983,0.10303229654503417,2.8146970523331696,4.0,1.0,6.0,0.9171
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_6_SAENDO1,5,9,10000,0.9996,1.4448570580154025,0.5884363364192639,3.186744556812271,2.0,1.0,5.0,0.9771
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_7_SAENDO2,5,9,10000,0.9606,0.9400400938888006,-0.10120594279094898,2.4524935597153386,4.0,1.0,6.0,0.746
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_1,5,9,10000,0.0529,-0.5598809209476001,-1.2951730234796577,0.23807558103128973,7.0,5.0,7.0,0.0463
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_2,5,9,10000,0.9961,1.1434403877609918,0.3212476778396212,2.292106630835915,2.0,1.0,5.0,0.9871
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_3,5,9,10000,0.6788,0.20681166286838115,-0.6936529529750673,1.1618378182857843,5.0,2.0,6.0,0.6754
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_4,5,9,10000,0.6695,0.1808616363953472,-0.75158164735663,1.1637440320192498,5.0,2.0,6.0,0.658
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_5,5,9,10000,0.9518,0.793506570148067,-0.14363768111133798,2.038862759719586,3.0,1.0,6.0,0.9346
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_6_SAENDO1,5,9,10000,0.9969,1.3201329911368367,0.3875114203540521,2.6873215241318054,1.0,1.0,4.0,0.9931
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_7_SAENDO2,5,9,10000,0.7826,0.4666788902486222,-0.6692041097950016,2.3276854083378598,4.0,1.0,7.0,0.7055
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,singscore,RAM2019_MAC_SIG_A_SAM,4,9,10000,0.9995,1.641245032912373,0.6501432091437976,4.395963574282645,2.0,1.0,4.0,0.9987
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,singscore,RAM2019_MAC_SIG_B_SAM,4,9,10000,0.9976,1.3033148903068903,0.40267432264063857,2.6153413269015213,3.0,2.0,4.0,1.0
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,singscore,RAM2019_MAC_SIG_C_KC,4,9,10000,0.4133,-0.12591755438116226,-1.2109966978106246,1.1306785375471498,6.0,5.0,6.0,0.2199
