dataset_id,contrast,program_id,lineage,score_method,analysis_tier,cell_gate,coverage_tier,program_coverage,expected_direction,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,singscore,post_lock_external,30,primary,0.9625,positive_case_higher,6,4,0.8470662236679103,0.7404447280350795,-0.10662149563283074,0.05463136285439702,-1.9516535935044732,-1.7627838909072662,0.8222780510527162,-3.37444887097059,-0.15111891084394236,0.7815878754460701,-3.2946961267815635,-0.2308716550329688,0.009523809523809525,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,standardized_mean,post_lock_external,30,primary,0.9625,positive_case_higher,6,4,0.5013351128391863,-0.3044804819864937,-0.80581559482568,0.23579850648577685,-3.417390579928402,-3.086675362515976,0.8245769705850707,-4.702846224862714,-1.4705045001692374,1.0060514232703825,-5.058536152125926,-1.1148145729060261,0.004761904761904762,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,singscore,post_lock_external,30,primary,0.9555555555555556,positive_case_higher,6,4,0.44458524226767615,0.6078539421906191,0.1632686999229429,0.06453160142159796,2.530058085127558,2.285213754308762,0.6485839452349891,1.0139892216481832,3.5564382869693407,0.8620059661027807,0.5956820607473117,3.974745447870212,0.004761904761904762,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,standardized_mean,post_lock_external,30,primary,0.9555555555555556,positive_case_higher,6,4,-0.22773569825040493,0.40586238901442434,0.6335980872648292,0.21409369226546077,2.9594430389813318,2.6730453255315254,0.6194709656302689,1.4588822328961983,3.8872084181668525,0.9291070302652369,0.8519955462116611,4.4940951048513895,0.009523809523809525,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,singscore,post_lock_external,30,primary,0.9743589743589745,positive_case_higher,6,4,0.7008947785869236,0.6875089067607892,-0.013385871826134377,0.04319014182979357,-0.30992886939075737,-0.2799357529981034,0.7950431009161243,-1.838220230793707,1.2783487247975,0.6492799228988835,-1.5525244018799151,0.9926528958837082,0.6142857142857143,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,standardized_mean,post_lock_external,30,primary,0.9743589743589745,positive_case_higher,6,4,0.1825094426612972,-0.03626226313132201,-0.21877170579261923,0.27504642806228213,-0.795399188907409,-0.7184250738518533,0.7380633028967212,-2.1650291475294265,0.7281789998257201,0.6700187149161259,-2.03166175508746,0.5948116073837534,0.2904761904761905,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,singscore,post_lock_external,30,primary,0.9659090909090908,positive_case_higher,6,4,0.6745242483015773,0.5925386454285954,-0.08198560287298196,0.07284403047128105,-1.125495148230506,-1.0165762629178763,0.8146812982759042,-2.6133516075386485,0.5801990817028959,0.6937260790918642,-2.37627937793793,0.3431268521021775,0.06666666666666667,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,standardized_mean,post_lock_external,30,primary,0.9659090909090908,positive_case_higher,6,4,0.13219509865942644,-0.24101698516677697,-0.3732120838262034,0.3173548362138985,-1.1760088117096061,-1.062201507350612,0.8178419534782736,-2.665171736168028,0.5407687214668042,0.6979854363131699,-2.430252962524425,0.3058499478232011,0.07142857142857142,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_5,endothelial,singscore,post_lock_external,30,primary,0.96,positive_case_higher,6,4,0.6494565919501971,0.6610411309149271,0.011584538964729996,0.07054623600152453,0.16421200649854162,0.14832052199868276,0.7371284343133637,-1.29645120925551,1.5930922532528755,0.6465613681194843,-1.1189397595155064,1.4155808035128719,0.7904761904761904,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_5,endothelial,standardized_mean,post_lock_external,30,primary,0.96,positive_case_higher,6,4,-0.28944609587081926,0.058967440021332286,0.34841353589215157,0.33024630635028657,1.0550111513513654,0.9529132979947816,0.6780520338898934,-0.37606868842940955,2.281895284418973,0.6880547952453514,-0.3956741006861071,2.3015006966756704,0.12857142857142856,exact_210_allocations
