dataset_id,trend,lineage,program_id,score_method,n_donors,n_normal,n_masl,n_mash,spearman_rho,permutation_p_two_sided,permutations,theil_sen_slope_per_level,theil_sen_intercept,theil_sen_ci95_low,theil_sen_ci95_high,fdr_within_lineage_method
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,17,4,4,9,0.5749226883461156,0.0160983901609839,10000,0.1500276225664845,-0.2903375630209487,0.0250096287098723,0.28250523383933457,0.062993700629937
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,17,4,4,9,0.36353425258419486,0.1503849615038496,10000,0.020354222591929316,0.31626999838959446,-0.0060868480733859975,0.04616248263970865,0.22557744225577442
GSE244832,NORMAL_to_MASL_to_MASH,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,17,4,4,9,0.2652453620706903,0.3123687631236876,10000,0.041046993588242923,-0.04239570099271055,-0.05857279159067885,0.1682083447090757,0.46855314468553144
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,18,5,4,9,0.4321722628668349,0.07189281071892811,10000,0.08975584644800705,0.023454735990586867,-0.011389542579791093,0.1582861450213267,0.08627137286271373
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,18,5,4,9,0.33339003135441553,0.1780821917808219,10000,0.2251756349334894,-0.24045580306582323,-0.138924006719301,0.5266110796978583,0.21369863013698626
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,18,5,4,9,0.6319817766078651,0.007899210078992101,10000,0.0324366001516424,0.2399741029350418,0.0120028373057256,0.05159224537885221,0.045195480451954796
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,18,5,4,9,0.4692155996839922,0.050594940505949405,10000,0.17697295745300345,-0.29104234274679014,0.005619258547896952,0.2656589524904356,0.1481851814818518
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,18,5,4,9,0.563507729764029,0.017998200179982,10000,0.04026186294795764,0.5395412127679924,0.00683537714524185,0.07718210972683481,0.045195480451954796
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,18,5,4,9,0.43553983894112197,0.0740925907409259,10000,0.2020821293107648,-0.2721028022184776,-0.021452958686847406,0.39109530942902776,0.1481851814818518
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,18,5,4,9,-0.0022450507161913503,0.995000499950005,10000,0.00033951257367248466,0.4372286408124219,-0.03380993316786965,0.04012102034399481,0.995000499950005
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,18,5,4,9,-0.01122525358095675,0.9657034296570343,10000,-0.009463200486674747,0.06025703538723922,-0.24902445606316592,0.2300980550898164,0.9657034296570343
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,18,5,4,9,0.43441731358302627,0.07189281071892811,10000,0.027793279310491914,0.6497273667933916,-0.00402942965985742,0.06107555447044832,0.08627137286271373
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,18,5,4,9,0.5287094436630629,0.028397160283971604,10000,0.16886419949454012,-0.16934875783923428,0.015589674036853102,0.36421761156625515,0.1481851814818518
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,18,5,4,9,0.5433022733183067,0.0225977402259774,10000,0.038898558001247696,0.3818296042200212,0.006102781519484707,0.07157224762836129,0.045195480451954796
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,18,5,4,9,0.36482074138109444,0.13808619138086192,10000,0.13704764428109145,-0.22838603986104913,-0.021084712144421848,0.2964483356575067,0.20712928707129288
