lineage,program_id,score_method,disease_group,metabolic_order,n_donors,median_score,q25,q75
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,MASL,1,4,0.5669259722426562,0.5077577117355696,0.6198483706046787
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,normal,0,5,0.5445784905105193,0.4512100926879505,0.56406931979795
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,MASH,2,9,0.2382303239508617,0.0651888501825946,0.6349653298919296
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,MASL,1,4,-0.21753822761226702,-0.40465422714095706,-0.06464596992791145
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,normal,0,5,-0.421637700321852,-0.4646871984342078,-0.2476457023930345
endothelial,RAM2019_ENDO_7_SAENDO2,singscore,MASH,2,9,0.4196547162544584,0.359673135852911,0.4744319228386275
endothelial,RAM2019_ENDO_7_SAENDO2,singscore,MASL,1,4,0.36098025753947655,0.28111304609923143,0.43122657780605833
endothelial,RAM2019_ENDO_7_SAENDO2,singscore,normal,0,5,0.314153284549306,0.3042348331351829,0.3368683333612419
endothelial,RAM2019_ENDO_7_SAENDO2,standardized_mean,MASH,2,9,0.306598133689401,-0.1705432208323367,0.6063327997946335
endothelial,RAM2019_ENDO_7_SAENDO2,standardized_mean,MASL,1,4,-0.00936543947784195,-0.3328598128257044,0.24759607997413516
endothelial,RAM2019_ENDO_7_SAENDO2,standardized_mean,normal,0,5,-0.4388185131172352,-0.5986141337965702,-0.2725781576749951
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,MASH,2,9,0.4089221692300264,0.2971962272492816,0.4161116884634832
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,MASL,1,4,0.2770559814411563,0.25113229528482395,0.30786235354800673
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,normal,0,4,0.19031326942084908,0.16472037864716588,0.2365653879088013
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,MASH,2,9,0.2934969848624802,-0.092775932984655,0.4581738432706921
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,MASL,1,4,-0.0891828899966844,-0.10438473740507193,-0.0812959651183647
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,normal,0,4,-0.3415730000133464,-0.37084556144930436,-0.27525664881533196
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,MASH,2,9,0.5249625870281209,0.5059013845908056,0.5693697142960366
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,MASL,1,4,0.5054750268559333,0.4551695061581552,0.5393840589655181
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,normal,0,4,0.49311458210901005,0.4669379649642387,0.5014613434089709
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,MASH,2,9,0.1788903819150621,-0.0349028097530306,0.3174155108636246
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,MASL,1,4,0.028855612846868748,-0.10703086297949219,0.07489683427470065
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,normal,0,4,-0.059167399003667506,-0.15301218960479054,0.04998465153830528
macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,MASH,2,9,0.7672820228878683,0.7193576311458398,0.7879333071125614
macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,MASL,1,4,0.7503433388224408,0.7238621405947925,0.7750416073733672
macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,normal,0,4,0.7753141755315831,0.7563633514953003,0.7777951928174189
macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,MASH,2,9,0.0382724381405774,-0.1468743059899209,0.266817259060334
macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,MASL,1,4,-0.014851759705899595,-0.21310227758566413,0.16066529502723104
macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,normal,0,4,0.2002559061838602,0.06282587938465445,0.2609541904465177
macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,MASH,2,9,0.2085418804168803,0.2007669976419976,0.2123175248175248
macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,MASL,1,4,0.2013024981774981,0.18804453570078555,0.22222133159633162
macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,normal,0,4,0.20864734927234924,0.18085222772722773,0.2249102249102249
macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,MASH,2,9,0.0067065038262544,-0.0541741099616054,0.0731587280005088
macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,MASL,1,4,-0.015359798990906549,-0.06475530390975454,0.11019500101560178
macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,normal,0,4,0.07975268936937226,-0.049228071882020635,0.15924949426150659
macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,MASH,2,9,0.5391288754219088,0.5183367609379912,0.5579735309384009
macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,MASL,1,4,0.509790368379168,0.48052877362123736,0.5363429579762511
macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,normal,0,4,0.4973367134822616,0.4739445128684121,0.5067073351922379
macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,MASH,2,9,0.0665742703568043,0.0097176821120203,0.2333010711509151
macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,MASL,1,4,-0.1494732910383939,-0.22445115200634944,0.02188141622005399
macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,normal,0,4,-0.1567611135711889,-0.2814703264620593,-0.04113167057656855
macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,MASH,2,9,0.3602703906988798,0.3518968880429216,0.4086573214720315
macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,MASL,1,4,0.3654267150514784,0.34300605778812626,0.3826317172370286
macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,normal,0,4,0.34206085273992914,0.3178372679290792,0.35965604525602407
macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,MASH,2,9,0.1192347300287382,-0.0774472969975824,0.1345972135019713
macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,MASL,1,4,0.0489511752838324,0.006682795453071402,0.07982707791849282
macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,normal,0,4,-0.00933779871190675,-0.0982416165373006,0.04451878744023038
mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,MASH,2,9,0.1945874393293132,0.1691884836005295,0.2238472569495513
mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,MASL,1,4,-0.0226871598764524,-0.08465399323429909,0.04378171422267978
mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,normal,0,5,0.0735586115605235,0.0123823356375938,0.2146731136931901
mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,MASH,2,9,0.2388773285069838,0.1374802962377554,0.3849566572518308
mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,MASL,1,4,-0.49550330974805745,-0.9244722359610973,-0.07783023271501358
mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,normal,0,5,0.0546876607077663,-0.4454752893205513,0.4641247058772014
mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,MASH,2,9,0.3252724560434294,0.3135613031382651,0.3487209222846705
mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,MASL,1,4,0.2738302587927234,0.24426569079744748,0.29340993201458915
mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,normal,0,5,0.2640889334859153,0.2582518983488453,0.2679754750804719
mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,MASH,2,9,0.1709419761875879,0.128903745245748,0.2281998248252465
mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,MASL,1,4,-0.08610673245577145,-0.1949354150973624,-0.031521017116237025
mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,normal,0,5,-0.1546704741815485,-0.2433948936016646,-0.1257460900807604
mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,MASH,2,9,0.6261122872146196,0.5887205273773712,0.6542017505346802
mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,MASL,1,4,0.5689419741440768,0.50194677431274,0.6183118093712507
mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,normal,0,5,0.5455885613187044,0.4967696397210968,0.5624937511954236
mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,MASH,2,9,0.2290111459837678,-0.036889995140636,0.3148863010812855
mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,MASL,1,4,0.03102039174766955,-0.12888620859719147,0.057540113918998624
mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,normal,0,5,-0.3979423335705783,-0.4079067935405011,-0.1153788645922703
mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,MASH,2,9,0.4823938479652661,0.4251767806849122,0.4971634811578882
mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,MASL,1,4,0.40831822530255085,0.37993673024304414,0.4235252108991899
mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,normal,0,5,0.4680423337057378,0.4314368573511999,0.5113193157567282
mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,MASH,2,9,0.0763552877829017,-0.0647934474442347,0.364717703712913
mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,MASL,1,4,-0.3765525990727232,-0.6343989088211061,-0.13920715831277597
mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,normal,0,5,0.1817871794216133,-0.0394519564345494,0.3625870234971936
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,MASH,2,9,0.7310174043458548,0.6832707458950005,0.7449261545735333
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,MASL,1,4,0.6689361879405826,0.6373278361022946,0.6929679234534315
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,normal,0,5,0.6901272675835821,0.6194276834121974,0.6927073039346767
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,MASH,2,9,0.2320954785584278,0.1852069623086349,0.3390727507424523
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,MASL,1,4,-0.0212099133308941,-0.23469606318257885,0.07833145435923447
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,normal,0,5,-0.022297461754184,-0.4957377256371295,0.0259372452505521
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,MASH,2,9,0.4804739093210035,0.4138375926345718,0.516893885603056
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,MASL,1,4,0.4020844691157728,0.3620217145990275,0.4485797333323342
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,normal,0,5,0.4015127529243081,0.3669649832419399,0.4399435715182296
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,MASH,2,9,0.0971996055887237,-0.0980733497538088,0.3687089157260115
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,MASL,1,4,-0.13992932113261744,-0.19743969779766118,-0.08690029665881643
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,normal,0,5,-0.126323597055185,-0.2901238470054392,0.0946136271638286
