lineage,program_id,score_method,disease_group,metabolic_order,n_donors,median_score,q25,q75
endothelial,RAM2019_ENDO_1,singscore,MASH,2,9,0.7918002312964243,0.7271240656943938,0.8122094241650433
endothelial,RAM2019_ENDO_1,singscore,MASL,1,4,0.7807981278960564,0.7594468677962419,0.8027829306343577
endothelial,RAM2019_ENDO_1,singscore,normal,0,5,0.7916149225001747,0.7843587733527893,0.7937547054851404
endothelial,RAM2019_ENDO_1,standardized_mean,MASH,2,9,0.1478867103878663,-0.7607848818007859,0.3434656268088576
endothelial,RAM2019_ENDO_1,standardized_mean,MASL,1,4,0.1774735686315396,0.002981853301348994,0.2849162014669815
endothelial,RAM2019_ENDO_1,standardized_mean,normal,0,5,0.1398451600067287,0.1235686400893781,0.2927261451858363
endothelial,RAM2019_ENDO_2,singscore,MASH,2,9,0.4633170941407887,0.3494674806529816,0.4643053185139638
endothelial,RAM2019_ENDO_2,singscore,MASL,1,4,0.3458545528969788,0.32629987043470726,0.3517926766922057
endothelial,RAM2019_ENDO_2,singscore,normal,0,5,0.2863529981991024,0.2740190331671734,0.3248689146915737
endothelial,RAM2019_ENDO_2,standardized_mean,MASH,2,9,0.1868394441065313,-0.2177121170364701,0.5111159108857494
endothelial,RAM2019_ENDO_2,standardized_mean,MASL,1,4,-0.18750433213916862,-0.21568932569088345,-0.08029936598203835
endothelial,RAM2019_ENDO_2,standardized_mean,normal,0,5,-0.3329810248013388,-0.3746571810954291,0.018827816466765
endothelial,RAM2019_ENDO_3,singscore,MASH,2,9,0.610643158592306,0.5941417770182027,0.6474534857133998
endothelial,RAM2019_ENDO_3,singscore,MASL,1,4,0.5680609326497158,0.5292949902921653,0.6059018694848453
endothelial,RAM2019_ENDO_3,singscore,normal,0,5,0.5782226717666707,0.5777721584721689,0.5834118098426981
endothelial,RAM2019_ENDO_3,standardized_mean,MASH,2,9,0.0970531647524819,-0.0771239981613884,0.1244478385755839
endothelial,RAM2019_ENDO_3,standardized_mean,MASL,1,4,-0.150863698722661,-0.326679540251691,0.013394776310249948
endothelial,RAM2019_ENDO_3,standardized_mean,normal,0,5,-0.0487994251207814,-0.075314522962477,0.1393931655836528
endothelial,RAM2019_ENDO_4,singscore,MASH,2,9,0.5904441368142435,0.5296641570217737,0.6352562222210787
endothelial,RAM2019_ENDO_4,singscore,MASL,1,4,0.5579416194500052,0.544438662083091,0.5794436410607411
endothelial,RAM2019_ENDO_4,singscore,normal,0,5,0.5577904489399623,0.5373847887729843,0.5735087511643346
endothelial,RAM2019_ENDO_4,standardized_mean,MASH,2,9,0.0760240659730298,-0.3477409612354802,0.391334242375796
endothelial,RAM2019_ENDO_4,standardized_mean,MASL,1,4,-0.06398318538405301,-0.09539589854848116,-0.002609841927763007
endothelial,RAM2019_ENDO_4,standardized_mean,normal,0,5,-0.0505746568624231,-0.0924155626564114,0.1023111361864474
endothelial,RAM2019_ENDO_5,singscore,MASH,2,9,0.614216570909448,0.5662374472107641,0.6185095327538794
endothelial,RAM2019_ENDO_5,singscore,MASL,1,4,0.5318718848212532,0.5133923912910038,0.537434704011982
endothelial,RAM2019_ENDO_5,singscore,normal,0,5,0.5223924572775487,0.4746343117756826,0.5503385263209584
endothelial,RAM2019_ENDO_5,standardized_mean,MASH,2,9,0.2233012821197706,-0.0687357053292671,0.3705489804623963
endothelial,RAM2019_ENDO_5,standardized_mean,MASL,1,4,-0.29807697699295754,-0.3687105731823578,-0.16106308050942048
endothelial,RAM2019_ENDO_5,standardized_mean,normal,0,5,-0.0851649466308284,-0.3779683503408933,0.0491909043461142
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,MASH,2,9,0.6875337158550341,0.5856198813201903,0.7562129125594623
