lineage,program_left,program_right,genes_left,genes_right,shared_genes,jaccard,overlap_coefficient
mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,RAM2019_SAMES_B,5,59,0,0.0,0.0
mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,RAM2019_MES_MESOTHELIAL,444,444,444,1.0,1.0
mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,RAM2019_MES_SAMES,444,140,56,0.10606060606060606,0.4
mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,RAM2019_MES_VSMC,444,22,0,0.0,0.0
mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,RAM2019_SAMES_A,444,47,2,0.00408997955010225,0.0425531914893617
mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,RAM2019_SAMES_B,444,59,25,0.05230125523012552,0.423728813559322
mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,RAM2019_MES_SAMES,140,140,140,1.0,1.0
mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,RAM2019_MES_VSMC,140,22,0,0.0,0.0
mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,RAM2019_SAMES_A,140,47,16,0.0935672514619883,0.3404255319148936
mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,RAM2019_SAMES_B,140,59,21,0.11797752808988764,0.3559322033898305
mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,RAM2019_MES_VSMC,22,22,22,1.0,1.0
mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,RAM2019_SAMES_A,22,47,3,0.045454545454545456,0.13636363636363635
mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,RAM2019_SAMES_B,22,59,2,0.02531645569620253,0.09090909090909091
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,RAM2019_SAMES_A,47,47,47,1.0,1.0
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,RAM2019_SAMES_B,47,59,0,0.0,0.0
mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,RAM2019_SAMES_B,59,59,59,1.0,1.0
