dataset_id,trend,program_id,lineage,score_method,analysis_tier,cell_gate,n_f0,n_fibrosis,n_cirrhosis,spearman_rho,permutation_p_two_sided,permutation_mode,permutation_fdr_within_lineage_method
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,singscore,post_lock_external,30,3,4,4,0.1059456926727952,0.756017316017316,exact_11550_allocations,0.7560173160173159
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,standardized_mean,post_lock_external,30,3,4,4,-0.6501212959466978,0.03601731601731602,exact_11550_allocations,0.2161038961038961
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,singscore,post_lock_external,30,3,4,4,0.11557711927941296,0.7321212121212122,exact_11550_allocations,0.7560173160173159
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,standardized_mean,post_lock_external,30,3,4,4,0.06741998624632421,0.8457142857142858,exact_11550_allocations,0.8457142857142858
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,singscore,post_lock_external,30,3,4,4,0.28894279819853236,0.3851082251082251,exact_11550_allocations,0.7083116883116882
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,standardized_mean,post_lock_external,30,3,4,4,0.3515470711415477,0.28623376623376623,exact_11550_allocations,0.5724675324675325
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,singscore,post_lock_external,30,3,4,4,0.24078566516544359,0.4722077922077922,exact_11550_allocations,0.7083116883116882
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,standardized_mean,post_lock_external,30,3,4,4,0.12520854588603067,0.710995670995671,exact_11550_allocations,0.8457142857142858
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,singscore,post_lock_external,30,3,4,4,0.3178370780183856,0.33766233766233766,exact_11550_allocations,0.7083116883116882
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,standardized_mean,post_lock_external,30,3,4,4,0.23115423855882591,0.4896969696969697,exact_11550_allocations,0.7345454545454545
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,singscore,post_lock_external,30,3,4,4,0.35636278444485653,0.28,exact_11550_allocations,0.7083116883116882
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,standardized_mean,post_lock_external,30,3,4,4,0.5393598899705937,0.09073593073593074,exact_11550_allocations,0.27220779220779223
