standardized_effect,balanced_n_per_group,two_sided_alpha,power
0.3,3,0.05,0.0596183667908663
0.3,4,0.05,0.06506051881611369
0.3,5,0.05,0.07045960293662658
0.3,6,0.05,0.07584215751460019
0.3,7,0.05,0.08122365684084756
0.3,8,0.05,0.08661214888811954
0.3,9,0.05,0.09201177675400486
0.3,10,0.05,0.09742459135248123
0.3,11,0.05,0.10285146834236854
0.3,12,0.05,0.10829259243893188
0.3,13,0.05,0.11374772640929007
0.3,14,0.05,0.11921636764326814
0.3,15,0.05,0.12469784314222111
0.3,16,0.05,0.13019136926582958
0.3,17,0.05,0.13569609050894033
0.3,18,0.05,0.1412111053629661
0.3,19,0.05,0.14673548397618713
0.3,20,0.05,0.15226828046344604
0.3,21,0.05,0.1578085416396159
0.3,22,0.05,0.16335531331047365
0.3,23,0.05,0.1689076448624262
0.3,24,0.05,0.1744645926464151
0.3,25,0.05,0.18002522249331362
0.3,26,0.05,0.1855886115945912
0.3,27,0.05,0.19115384991287146
0.3,28,0.05,0.19672004124004175
0.3,29,0.05,0.20228630398814124
0.3,30,0.05,0.20785177177554992
0.3,31,0.05,0.21341559385487488
0.3,32,0.05,0.2189769354173465
0.3,33,0.05,0.22453497780009382
0.3,34,0.05,0.23008891861648645
0.3,35,0.05,0.23563797182511317
0.3,36,0.05,0.24118136774951815
0.3,37,0.05,0.24671835305820428
0.3,38,0.05,0.25224819071242116
0.3,39,0.05,0.25777015988771085
0.3,40,0.05,0.2632835558740137
0.3,41,0.05,0.2687876899581859
0.3,42,0.05,0.27428188929207914
0.3,43,0.05,0.2797654967487297
0.3,44,0.05,0.28523787076875745
0.3,45,0.05,0.29069838519871644
0.3,46,0.05,0.2961464291228216
0.3,47,0.05,0.30158140668926103
0.3,48,0.05,0.3070027369320843
0.3,49,0.05,0.3124098535865412
0.3,50,0.05,0.31780220494819883
0.3,51,0.05,0.323179253538777
0.3,52,0.05,0.32854047612787607
0.3,53,0.05,0.3338853634049779
0.3,54,0.05,0.33921341982330055
0.3,55,0.05,0.3445241634084588
0.3,56,0.05,0.3498171255668149
0.3,57,0.05,0.35509185089377077
0.3,58,0.05,0.36034789698220787
0.3,59,0.05,0.3655848342312722
0.3,60,0.05,0.37080224565565717
0.5,3,0.05,0.07684904996035864
0.5,4,0.05,0.09228237923828492
0.5,5,0.05,0.10768598979755588
0.5,6,0.05,0.1231048281052574
0.5,7,0.05,0.13855830956700016
0.5,8,0.05,0.15404750233627149
0.5,9,0.05,0.16956418855841715
0.5,10,0.05,0.1850956562911849
0.5,11,0.05,0.20062713508589541
0.5,12,0.05,0.2161430734892068
0.5,13,0.05,0.23162783503821963
0.5,14,0.05,0.24706608906706584
0.5,15,0.05,0.26244303386523327
0.5,16,0.05,0.2777445238106222
0.5,17,0.05,0.2929571394446657
0.5,18,0.05,0.3080682225610455
0.5,19,0.05,0.3230658892726255
0.5,20,0.05,0.3379390289250412
0.5,21,0.05,0.3526772937751872
0.5,22,0.05,0.3672710825914734
0.5,23,0.05,0.3817115202514019
0.5,24,0.05,0.39599043473105267
0.5,25,0.05,0.41010033244202865
0.5,26,0.05,0.42403437258223453
0.5,27,0.05,0.43778634097249086
0.5,28,0.05,0.45135062371788676
0.5,29,0.05,0.4647221809399721
0.5,30,0.05,0.4778965207601645
0.5,31,0.05,0.49086967366734063
0.5,32,0.05,0.5036381673680058
0.5,33,0.05,0.5161990021917122
0.5,34,0.05,0.5285496271051295
0.5,35,0.05,0.5406879163734195
0.5,36,0.05,0.5526121468962583
0.5,37,0.05,0.5643209762369937
0.5,38,0.05,0.5758134213564557
0.5,39,0.05,0.5870888380573965
0.5,40,0.05,0.5981469011410998
0.5,41,0.05,0.6089875852740849
0.5,42,0.05,0.6196111465599655
0.5,43,0.05,0.6300181048090823
0.5,44,0.05,0.640209226496635
0.5,45,0.05,0.6501855083984251
0.5,46,0.05,0.6599481618920267
0.5,47,0.05,0.6694985979101379
0.5,48,0.05,0.6788384125320239
0.5,49,0.05,0.6879693731952424
0.5,50,0.05,0.6968934055617443
0.5,51,0.05,0.7056125807862585
0.5,52,0.05,0.7141291037171636
0.5,53,0.05,0.7224453013090997
0.5,54,0.05,0.7305636117523469
0.5,55,0.05,0.7384865740943929
0.5,56,0.05,0.7462168183720659
0.5,57,0.05,0.7537570562377971
0.5,58,0.05,0.7611100720636826
0.5,59,0.05,0.7682787145071545
0.5,60,0.05,0.7752658885222193
0.8,3,0.05,0.11932928311866398
0.8,4,0.05,0.16011344094763205
0.8,5,0.05,0.20073945265203552
0.8,6,0.05,0.24101842750289632
0.8,7,0.05,0.28076627130379833
0.8,8,0.05,0.31979927375936373
0.8,9,0.05,0.3579489548777971
0.8,10,0.05,0.39506921211366836
0.8,11,0.05,0.43103846029160714
0.8,12,0.05,0.46575928830210134
0.8,13,0.05,0.49915695121032644
