lineage,pathway_name,direction,significant_contexts,contexts,median_nes,minimum_absolute_nes
endothelial,Recognition of DNA damage by PCNA-containing replication complex,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7708497297355232,1.7708497297355232
mesenchymal_hsc_myofibroblast,Antimicrobial peptides,positive,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,1.7687011535956787,1.7687011535956787
mesenchymal_hsc_myofibroblast,Signaling by EGFR,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7682592378602315,1.7682592378602315
mesenchymal_hsc_myofibroblast,Scavenging of heme from plasma,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7678919442399603,1.7678919442399603
macrophage_monocyte,SARS-CoV-2 Infection,negative,1,GSE256398_human::mash_fibrosis_vs_masld_f0,-1.7675076956435574,1.7675076956435574
endothelial,SUMOylation,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.767481689985412,1.767481689985412
macrophage_monocyte,M Phase,positive,1,GSE256398_human::mash_cirrhosis_vs_healthy,1.7673952321315336,1.7673952321315336
endothelial,Recycling of bile acids and salts,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.767324086780204,1.767324086780204
endothelial,Nuclear import of Rev protein,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7672735878662233,1.7672735878662233
macrophage_monocyte,G-protein mediated events,positive,1,GSE256398_human::mash_cirrhosis_vs_healthy,1.7668432335079622,1.7668432335079622
macrophage_monocyte,Cellular response to chemical stress,negative,1,GSE256398_human::mash_cirrhosis_vs_healthy,-1.7654243532292255,1.7654243532292255
mesenchymal_hsc_myofibroblast,TGF-beta receptor signaling activates SMADs,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.764549058824939,1.764549058824939
mesenchymal_hsc_myofibroblast,Influenza Viral RNA Transcription and Replication,positive,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,1.7641137248404337,1.7641137248404337
macrophage_monocyte,APC/C:Cdc20 mediated degradation of Securin,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7617645525344658,1.7617645525344658
endothelial,E2F mediated regulation of DNA replication,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7602340421546874,1.7602340421546874
macrophage_monocyte,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,positive,1,GSE256398_human::mash_cirrhosis_vs_healthy,1.7593462915279225,1.7593462915279225
endothelial,Dual Incision in GG-NER,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.758672225908904,1.758672225908904
mesenchymal_hsc_myofibroblast,RHOV GTPase cycle,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.758448241373416,1.758448241373416
macrophage_monocyte,Regulation of activated PAK-2p34 by proteasome mediated degradation,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7577405311363485,1.7577405311363485
macrophage_monocyte,Protein methylation,negative,1,GSE256398_human::mash_fibrosis_vs_masld_f0,-1.7563961150625385,1.7563961150625385
endothelial,Aspirin ADME,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7558104779517876,1.7558104779517876
mesenchymal_hsc_myofibroblast,NGF-stimulated transcription,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7542228751240112,1.7542228751240112
endothelial,Postmitotic nuclear pore complex (NPC) reformation,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7541690865474948,1.7541690865474948
